ID,URL,Title,Difficulty,Acceptance %,Frequency %
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.9%,100.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.8%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.6%,100.0%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,49.2%,75.0%
475,https://leetcode.com/problems/heaters,Heaters,Medium,42.2%,75.0%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.5%,87.5%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,47.0%,75.0%
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,72.8%,87.5%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,48.3%,75.0%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.8%,87.5%
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,67.5%,75.0%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,43.3%,75.0%
