ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,100.0%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,51.2%,62.5%
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,52.8%,50.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.7%,75.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,62.5%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,62.5%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.1%,50.0%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,62.4%,62.5%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,56.6%,75.0%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.6%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,87.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,75.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,45.6%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,87.5%
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,48.8%,50.0%
714,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,Best Time to Buy and Sell Stock with Transaction Fee,Medium,70.7%,62.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,53.6%,62.5%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,58.3%,50.0%
3522,https://leetcode.com/problems/calculate-score-after-performing-instructions,Calculate Score After Performing Instructions,Medium,55.8%,87.5%
1606,https://leetcode.com/problems/find-servers-that-handled-most-number-of-requests,Find Servers That Handled Most Number of Requests,Hard,44.3%,87.5%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.2%,75.0%
57,https://leetcode.com/problems/insert-interval,Insert Interval,Medium,43.6%,50.0%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.4%,62.5%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,69.6%,87.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,62.5%
855,https://leetcode.com/problems/exam-room,Exam Room,Medium,42.9%,62.5%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.0%,50.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,50.0%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,53.0%,62.5%
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,65.9%,50.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,50.0%
733,https://leetcode.com/problems/flood-fill,Flood Fill,Easy,66.7%,62.5%
46,https://leetcode.com/problems/permutations,Permutations,Medium,80.8%,50.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.0%,50.0%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,45.1%,50.0%
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,51.4%,62.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,62.5%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,70.3%,50.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,49.4%,62.5%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,62.5%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,43.1%,50.0%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.1%,50.0%
188,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,Best Time to Buy and Sell Stock IV,Hard,47.4%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,50.0%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,36.7%,50.0%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,43.2%,50.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,50.0%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,45.9%,50.0%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.7%,50.0%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.4%,50.0%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.3%,50.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.8%,50.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,50.0%
