ID,URL,Title,Difficulty,Acceptance %,Frequency %
2509,https://leetcode.com/problems/cycle-length-queries-in-a-tree,Cycle Length Queries in a Tree,Hard,60.6%,100.0%
2024,https://leetcode.com/problems/maximize-the-confusion-of-an-exam,Maximize the Confusion of an Exam,Medium,70.2%,100.0%
1567,https://leetcode.com/problems/maximum-length-of-subarray-with-positive-product,Maximum Length of Subarray With Positive Product,Medium,44.7%,100.0%
2211,https://leetcode.com/problems/count-collisions-on-a-road,Count Collisions on a Road,Medium,58.1%,100.0%
2327,https://leetcode.com/problems/number-of-people-aware-of-a-secret,Number of People Aware of a Secret,Medium,60.6%,100.0%
2035,https://leetcode.com/problems/partition-array-into-two-arrays-to-minimize-sum-difference,Partition Array Into Two Arrays to Minimize Sum Difference,Hard,23.9%,100.0%
3250,https://leetcode.com/problems/find-the-count-of-monotonic-pairs-i,Find the Count of Monotonic Pairs I,Hard,47.7%,75.0%
2134,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together-ii,Minimum Swaps to Group All 1's Together II,Medium,65.7%,75.0%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,59.2%,62.5%
2560,https://leetcode.com/problems/house-robber-iv,House Robber IV,Medium,64.6%,87.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,47.0%,62.5%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,46.0%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,62.5%
