ID,URL,Title,Difficulty,Acceptance %,Frequency %
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.2%,50.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.1%,75.0%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.4%,62.5%
1166,https://leetcode.com/problems/design-file-system,Design File System,Medium,65.1%,50.0%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,62.8%,37.5%
2034,https://leetcode.com/problems/stock-price-fluctuation,Stock Price Fluctuation,Medium,48.9%,87.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.4%,50.0%
229,https://leetcode.com/problems/majority-element-ii,Majority Element II,Medium,55.8%,50.0%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.0%,37.5%
353,https://leetcode.com/problems/design-snake-game,Design Snake Game,Medium,40.0%,87.5%
359,https://leetcode.com/problems/logger-rate-limiter,Logger Rate Limiter,Easy,76.8%,62.5%
432,https://leetcode.com/problems/all-oone-data-structure,All O`one Data Structure,Hard,44.1%,87.5%
1366,https://leetcode.com/problems/rank-teams-by-votes,Rank Teams by Votes,Medium,60.0%,100.0%
911,https://leetcode.com/problems/online-election,Online Election,Medium,52.7%,37.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,37.5%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.7%,50.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.5%,37.5%
881,https://leetcode.com/problems/boats-to-save-people,Boats to Save People,Medium,61.4%,37.5%
3026,https://leetcode.com/problems/maximum-good-subarray-sum,Maximum Good Subarray Sum,Medium,21.4%,37.5%
2933,https://leetcode.com/problems/high-access-employees,High-Access Employees,Medium,47.3%,62.5%
2976,https://leetcode.com/problems/minimum-cost-to-convert-string-i,Minimum Cost to Convert String I,Medium,63.3%,37.5%
2598,https://leetcode.com/problems/smallest-missing-non-negative-integer-after-operations,Smallest Missing Non-negative Integer After Operations,Medium,55.9%,37.5%
2977,https://leetcode.com/problems/minimum-cost-to-convert-string-ii,Minimum Cost to Convert String II,Hard,59.7%,37.5%
2959,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,Number of Possible Sets of Closing Branches,Hard,50.6%,37.5%
