ID,URL,Title,Difficulty,Acceptance %,Frequency %
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.7%,87.5%
1169,https://leetcode.com/problems/invalid-transactions,Invalid Transactions,Medium,32.1%,75.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,46.8%,75.0%
430,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,Flatten a Multilevel Doubly Linked List,Medium,62.5%,87.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.1%,87.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,100.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,45.9%,62.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.3%,50.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.5%,75.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.5%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.8%,75.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,65.8%,50.0%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,55.1%,75.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,47.9%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.4%,50.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.2%,75.0%
1387,https://leetcode.com/problems/sort-integers-by-the-power-value,Sort Integers by The Power Value,Medium,71.5%,62.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.5%,50.0%
1396,https://leetcode.com/problems/design-underground-system,Design Underground System,Medium,74.4%,87.5%
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,60.9%,87.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,58.8%,50.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.4%,62.5%
445,https://leetcode.com/problems/add-two-numbers-ii,Add Two Numbers II,Medium,62.4%,87.5%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,47.9%,62.5%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,58.1%,50.0%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,67.8%,50.0%
1249,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,Minimum Remove to Make Valid Parentheses,Medium,71.3%,75.0%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.1%,75.0%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,71.6%,62.5%
1656,https://leetcode.com/problems/design-an-ordered-stream,Design an Ordered Stream,Easy,82.6%,75.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.2%,75.0%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.0%,62.5%
435,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,Medium,56.7%,50.0%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.0%,50.0%
148,https://leetcode.com/problems/sort-list,Sort List,Medium,63.8%,50.0%
611,https://leetcode.com/problems/valid-triangle-number,Valid Triangle Number,Medium,56.7%,50.0%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,44.9%,50.0%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.5%,62.5%
120,https://leetcode.com/problems/triangle,Triangle,Medium,59.8%,50.0%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.1%,50.0%
1472,https://leetcode.com/problems/design-browser-history,Design Browser History,Medium,78.2%,50.0%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.3%,50.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.6%,50.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.1%,62.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.9%,50.0%
799,https://leetcode.com/problems/champagne-tower,Champagne Tower,Medium,64.0%,50.0%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,57.6%,50.0%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,44.7%,50.0%
27,https://leetcode.com/problems/remove-element,Remove Element,Easy,61.3%,50.0%
175,https://leetcode.com/problems/combine-two-tables,Combine Two Tables,Easy,79.2%,50.0%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.1%,50.0%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,64.0%,75.0%
345,https://leetcode.com/problems/reverse-vowels-of-a-string,Reverse Vowels of a String,Easy,60.6%,50.0%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,57.4%,50.0%
182,https://leetcode.com/problems/duplicate-emails,Duplicate Emails,Easy,73.4%,50.0%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,67.3%,50.0%
1274,https://leetcode.com/problems/number-of-ships-in-a-rectangle,Number of Ships in a Rectangle,Hard,68.9%,50.0%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,49.5%,50.0%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.0%,50.0%
1029,https://leetcode.com/problems/two-city-scheduling,Two City Scheduling,Medium,68.3%,50.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.8%,50.0%
116,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Populating Next Right Pointers in Each Node,Medium,66.8%,50.0%
696,https://leetcode.com/problems/count-binary-substrings,Count Binary Substrings,Easy,70.2%,50.0%
