ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,100.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,87.5%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,46.4%,62.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,62.5%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.3%,50.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,45.6%,62.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,44.0%,62.5%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,77.3%,62.5%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,60.5%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,62.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,62.5%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.5%,62.5%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,65.8%,75.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,45.6%,62.5%
1396,https://leetcode.com/problems/design-underground-system,Design Underground System,Medium,74.1%,62.5%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,30.4%,50.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,50.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,75.0%
78,https://leetcode.com/problems/subsets,Subsets,Medium,81.0%,62.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,45.4%,62.5%
1169,https://leetcode.com/problems/invalid-transactions,Invalid Transactions,Medium,31.3%,75.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,62.5%
2667,https://leetcode.com/problems/create-hello-world-function,Create Hello World Function,Easy,82.1%,50.0%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,63.3%,75.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.0%,62.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.2%,37.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,66.8%,75.0%
430,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list,Flatten a Multilevel Doubly Linked List,Medium,61.4%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,87.5%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,61.3%,75.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.0%,62.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.0%,75.0%
1244,https://leetcode.com/problems/design-a-leaderboard,Design A Leaderboard,Medium,67.9%,37.5%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,62.5%
1029,https://leetcode.com/problems/two-city-scheduling,Two City Scheduling,Medium,67.7%,37.5%
18,https://leetcode.com/problems/4sum,4Sum,Medium,38.4%,50.0%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,53.8%,50.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,50.0%
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,19.4%,50.0%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,47.0%,37.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,37.5%
2423,https://leetcode.com/problems/remove-letter-to-equalize-frequency,Remove Letter To Equalize Frequency,Easy,18.3%,37.5%
1752,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Check if Array Is Sorted and Rotated,Easy,55.1%,37.5%
27,https://leetcode.com/problems/remove-element,Remove Element,Easy,60.2%,50.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,75.0%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,43.3%,62.5%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,37.5%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,51.2%,37.5%
102,https://leetcode.com/problems/binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,70.8%,62.5%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,47.7%,62.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,37.5%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,65.9%,50.0%
