ID,URL,Title,Difficulty,Acceptance %,Frequency %
2512,https://leetcode.com/problems/reward-top-k-students,Reward Top K Students,Medium,46.5%,100.0%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,49.6%,62.5%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.1%,100.0%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.0%,87.5%
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,49.6%,75.0%
2146,https://leetcode.com/problems/k-highest-ranked-items-within-a-price-range,K Highest Ranked Items Within a Price Range,Medium,45.9%,62.5%
2032,https://leetcode.com/problems/two-out-of-three,Two Out of Three,Easy,77.1%,62.5%
1034,https://leetcode.com/problems/coloring-a-border,Coloring A Border,Medium,50.6%,62.5%
2159,https://leetcode.com/problems/order-two-columns-independently,Order Two Columns Independently,Medium,61.3%,62.5%
1948,https://leetcode.com/problems/delete-duplicate-folders-in-system,Delete Duplicate Folders in System,Hard,77.9%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.2%,62.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,69.8%,75.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.8%,62.5%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.3%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.3%,62.5%
