ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.5%,75.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.8%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.8%,100.0%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.9%,50.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.8%,75.0%
213,https://leetcode.com/problems/house-robber-ii,House Robber II,Medium,44.6%,50.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.8%,62.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,50.8%,62.5%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.1%,50.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,62.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,75.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.2%,50.0%
316,https://leetcode.com/problems/remove-duplicate-letters,Remove Duplicate Letters,Medium,52.8%,62.5%
1997,https://leetcode.com/problems/first-day-where-you-have-been-in-all-the-rooms,First Day Where You Have Been in All the Rooms,Medium,40.4%,50.0%
1081,https://leetcode.com/problems/smallest-subsequence-of-distinct-characters,Smallest Subsequence of Distinct Characters,Medium,63.1%,62.5%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.1%,75.0%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.6%,62.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.3%,50.0%
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,59.0%,62.5%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,30.4%,75.0%
1530,https://leetcode.com/problems/number-of-good-leaf-nodes-pairs,Number of Good Leaf Nodes Pairs,Medium,71.8%,50.0%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,50.0%,62.5%
939,https://leetcode.com/problems/minimum-area-rectangle,Minimum Area Rectangle,Medium,55.3%,50.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.1%,50.0%
1143,https://leetcode.com/problems/longest-common-subsequence,Longest Common Subsequence,Medium,58.9%,62.5%
240,https://leetcode.com/problems/search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,56.8%,50.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.4%,62.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.9%,50.0%
407,https://leetcode.com/problems/trapping-rain-water-ii,Trapping Rain Water II,Hard,64.0%,50.0%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,47.9%,62.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,65.8%,62.5%
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,44.8%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.1%,62.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,46.8%,50.0%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,49.7%,62.5%
78,https://leetcode.com/problems/subsets,Subsets,Medium,82.0%,50.0%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,46.5%,50.0%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,59.0%,50.0%
1171,https://leetcode.com/problems/remove-zero-sum-consecutive-nodes-from-linked-list,Remove Zero Sum Consecutive Nodes from Linked List,Medium,53.1%,50.0%
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,36.4%,50.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.3%,50.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,58.8%,50.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.0%,50.0%
148,https://leetcode.com/problems/sort-list,Sort List,Medium,63.8%,50.0%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.6%,50.0%
662,https://leetcode.com/problems/maximum-width-of-binary-tree,Maximum Width of Binary Tree,Medium,45.2%,50.0%
133,https://leetcode.com/problems/clone-graph,Clone Graph,Medium,64.7%,50.0%
