ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,100.0%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,47.3%,50.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.9%,75.0%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,61.6%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.0%,75.0%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.0%,75.0%
2356,https://leetcode.com/problems/number-of-unique-subjects-taught-by-each-teacher,Number of Unique Subjects Taught by Each Teacher,Easy,89.3%,87.5%
177,https://leetcode.com/problems/nth-highest-salary,Nth Highest Salary,Medium,38.6%,50.0%
3005,https://leetcode.com/problems/count-elements-with-maximum-frequency,Count Elements With Maximum Frequency,Easy,79.9%,75.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,46.5%,75.0%
1405,https://leetcode.com/problems/longest-happy-string,Longest Happy String,Medium,65.5%,50.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,45.2%,50.0%
626,https://leetcode.com/problems/exchange-seats,Exchange Seats,Medium,73.5%,62.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,67.4%,50.0%
3498,https://leetcode.com/problems/reverse-degree-of-a-string,Reverse Degree of a String,Easy,88.1%,87.5%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.2%,75.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.2%,50.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.9%,62.5%
110,https://leetcode.com/problems/balanced-binary-tree,Balanced Binary Tree,Easy,56.5%,50.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,46.3%,50.0%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,47.8%,50.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,47.5%,50.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.5%,62.5%
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,80.2%,50.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.2%,50.0%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,68.6%,50.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,50.0%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.1%,50.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.0%,50.0%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,45.8%,50.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.8%,50.0%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,45.5%,50.0%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,63.8%,50.0%
