ID,URL,Title,Difficulty,Acceptance %,Frequency %
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,30.4%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.8%,87.5%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.1%,100.0%
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,65.4%,100.0%
2627,https://leetcode.com/problems/debounce,Debounce,Medium,91.8%,62.5%
2604,https://leetcode.com/problems/minimum-time-to-eat-all-grains,Minimum Time to Eat All Grains,Hard,40.5%,87.5%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.7%,100.0%
1797,https://leetcode.com/problems/design-authentication-manager,Design Authentication Manager,Medium,58.4%,75.0%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.1%,75.0%
2622,https://leetcode.com/problems/cache-with-time-limit,Cache With Time Limit,Medium,76.0%,62.5%
