ID,URL,Title,Difficulty,Acceptance %,Frequency %
867,https://leetcode.com/problems/transpose-matrix,Transpose Matrix,Easy,74.5%,75.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,46.7%,87.5%
135,https://leetcode.com/problems/candy,Candy,Hard,46.9%,87.5%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,51.8%,87.5%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,60.7%,75.0%
1647,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique,Minimum Deletions to Make Character Frequencies Unique,Medium,61.3%,75.0%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,41.6%,75.0%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.1%,100.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,75.0%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,66.8%,75.0%
