ID,URL,Title,Difficulty,Acceptance %,Frequency %
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.3%,62.5%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,43.8%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.3%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.3%,62.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,50.3%,87.5%
588,https://leetcode.com/problems/design-in-memory-file-system,Design In-Memory File System,Hard,48.3%,87.5%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,30.0%,75.0%
726,https://leetcode.com/problems/number-of-atoms,Number of Atoms,Hard,65.0%,62.5%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,61.9%,75.0%
355,https://leetcode.com/problems/design-twitter,Design Twitter,Medium,43.7%,75.0%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.4%,62.5%
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Medium,41.0%,62.5%
78,https://leetcode.com/problems/subsets,Subsets,Medium,81.7%,75.0%
139,https://leetcode.com/problems/word-break,Word Break,Medium,48.8%,75.0%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,47.9%,100.0%
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,61.5%,62.5%
715,https://leetcode.com/problems/range-module,Range Module,Hard,44.4%,62.5%
340,https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters,Longest Substring with At Most K Distinct Characters,Medium,49.8%,62.5%
776,https://leetcode.com/problems/split-bst,Split BST,Medium,82.3%,62.5%
1044,https://leetcode.com/problems/longest-duplicate-substring,Longest Duplicate Substring,Hard,31.0%,75.0%
334,https://leetcode.com/problems/increasing-triplet-subsequence,Increasing Triplet Subsequence,Medium,39.1%,62.5%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.1%,62.5%
1062,https://leetcode.com/problems/longest-repeating-substring,Longest Repeating Substring,Medium,63.3%,75.0%
417,https://leetcode.com/problems/pacific-atlantic-water-flow,Pacific Atlantic Water Flow,Medium,60.2%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.9%,62.5%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.2%,62.5%
752,https://leetcode.com/problems/open-the-lock,Open the Lock,Medium,61.0%,62.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.7%,62.5%
694,https://leetcode.com/problems/number-of-distinct-islands,Number of Distinct Islands,Medium,62.6%,62.5%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.9%,62.5%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.4%,62.5%
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard,51.1%,62.5%
638,https://leetcode.com/problems/shopping-offers,Shopping Offers,Medium,52.1%,75.0%
2788,https://leetcode.com/problems/split-strings-by-separator,Split Strings by Separator,Easy,75.7%,62.5%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,30.9%,62.5%
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,49.2%,75.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.6%,62.5%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,56.6%,62.5%
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,35.9%,75.0%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.7%,62.5%
934,https://leetcode.com/problems/shortest-bridge,Shortest Bridge,Medium,59.1%,62.5%
1762,https://leetcode.com/problems/buildings-with-an-ocean-view,Buildings With an Ocean View,Medium,80.9%,62.5%
