ID,URL,Title,Difficulty,Acceptance %,Frequency %
559,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,Maximum Depth of N-ary Tree,Easy,73.7%,87.5%
408,https://leetcode.com/problems/valid-word-abbreviation,Valid Word Abbreviation,Easy,37.0%,87.5%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.7%,100.0%
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,55.0%,75.0%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.5%,62.5%
568,https://leetcode.com/problems/maximum-vacation-days,Maximum Vacation Days,Hard,46.8%,62.5%
480,https://leetcode.com/problems/sliding-window-median,Sliding Window Median,Hard,39.0%,62.5%
1232,https://leetcode.com/problems/check-if-it-is-a-straight-line,Check If It Is a Straight Line,Easy,40.2%,50.0%
819,https://leetcode.com/problems/most-common-word,Most Common Word,Easy,45.2%,100.0%
1452,https://leetcode.com/problems/people-whose-list-of-favorite-companies-is-not-a-subset-of-another-list,People Whose List of Favorite Companies Is Not a Subset of Another List,Medium,60.7%,75.0%
211,https://leetcode.com/problems/design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Medium,48.7%,87.5%
1229,https://leetcode.com/problems/meeting-scheduler,Meeting Scheduler,Medium,55.2%,87.5%
213,https://leetcode.com/problems/house-robber-ii,House Robber II,Medium,45.2%,62.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.4%,62.5%
