ID,URL,Title,Difficulty,Acceptance %,Frequency %
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,44.0%,50.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.0%,87.5%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,63.3%,50.0%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,43.3%,50.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,62.5%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,41.6%,62.5%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.1%,50.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,62.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,50.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,50.0%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,67.8%,50.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,75.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,62.5%
1139,https://leetcode.com/problems/largest-1-bordered-square,Largest 1-Bordered Square,Medium,51.2%,50.0%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,48.9%,62.5%
225,https://leetcode.com/problems/implement-stack-using-queues,Implement Stack using Queues,Easy,67.6%,50.0%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,47.7%,62.5%
2171,https://leetcode.com/problems/removing-minimum-number-of-magic-beans,Removing Minimum Number of Magic Beans,Medium,43.7%,62.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.0%,62.5%
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,35.1%,62.5%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,50.7%,75.0%
440,https://leetcode.com/problems/k-th-smallest-in-lexicographical-order,K-th Smallest in Lexicographical Order,Hard,45.9%,75.0%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,61.7%,62.5%
2551,https://leetcode.com/problems/put-marbles-in-bags,Put Marbles in Bags,Hard,72.4%,62.5%
1584,https://leetcode.com/problems/min-cost-to-connect-all-points,Min Cost to Connect All Points,Medium,69.2%,50.0%
852,https://leetcode.com/problems/peak-index-in-a-mountain-array,Peak Index in a Mountain Array,Medium,67.5%,50.0%
863,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,Medium,66.6%,50.0%
968,https://leetcode.com/problems/binary-tree-cameras,Binary Tree Cameras,Hard,47.3%,100.0%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,63.3%,50.0%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,45.7%,50.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,69.6%,62.5%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,47.6%,50.0%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,35.1%,62.5%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,77.3%,62.5%
871,https://leetcode.com/problems/minimum-number-of-refueling-stops,Minimum Number of Refueling Stops,Hard,40.6%,75.0%
1642,https://leetcode.com/problems/furthest-building-you-can-reach,Furthest Building You Can Reach,Medium,50.4%,50.0%
363,https://leetcode.com/problems/max-sum-of-rectangle-no-larger-than-k,Max Sum of Rectangle No Larger Than K,Hard,44.7%,50.0%
2875,https://leetcode.com/problems/minimum-size-subarray-in-infinite-array,Minimum Size Subarray in Infinite Array,Medium,31.3%,75.0%
2742,https://leetcode.com/problems/painting-the-walls,Painting the Walls,Hard,48.6%,75.0%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,54.0%,50.0%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,59.0%,50.0%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,45.9%,62.5%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,74.9%,50.0%
2542,https://leetcode.com/problems/maximum-subsequence-score,Maximum Subsequence Score,Medium,54.3%,62.5%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,58.3%,50.0%
778,https://leetcode.com/problems/swim-in-rising-water,Swim in Rising Water,Hard,63.1%,50.0%
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Medium,40.5%,50.0%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,65.9%,62.5%
1701,https://leetcode.com/problems/average-waiting-time,Average Waiting Time,Medium,73.0%,62.5%
2558,https://leetcode.com/problems/take-gifts-from-the-richest-pile,Take Gifts From the Richest Pile,Easy,75.6%,50.0%
2644,https://leetcode.com/problems/find-the-maximum-divisibility-score,Find the Maximum Divisibility Score,Easy,50.5%,50.0%
1679,https://leetcode.com/problems/max-number-of-k-sum-pairs,Max Number of K-Sum Pairs,Medium,56.3%,62.5%
3209,https://leetcode.com/problems/number-of-subarrays-with-and-value-of-k,Number of Subarrays With AND Value of K,Hard,34.0%,50.0%
3082,https://leetcode.com/problems/find-the-sum-of-the-power-of-all-subsequences,Find the Sum of the Power of All Subsequences,Hard,36.8%,50.0%
3108,https://leetcode.com/problems/minimum-cost-walk-in-weighted-graph,Minimum Cost Walk in Weighted Graph,Hard,68.5%,62.5%
3085,https://leetcode.com/problems/minimum-deletions-to-make-string-k-special,Minimum Deletions to Make String K-Special,Medium,67.1%,50.0%
1358,https://leetcode.com/problems/number-of-substrings-containing-all-three-characters,Number of Substrings Containing All Three Characters,Medium,73.2%,50.0%
2800,https://leetcode.com/problems/shortest-string-that-contains-three-strings,Shortest String That Contains Three Strings,Medium,30.8%,50.0%
2660,https://leetcode.com/problems/determine-the-winner-of-a-bowling-game,Determine the Winner of a Bowling Game,Easy,35.9%,50.0%
1122,https://leetcode.com/problems/relative-sort-array,Relative Sort Array,Easy,74.9%,62.5%
2430,https://leetcode.com/problems/maximum-deletions-on-a-string,Maximum Deletions on a String,Hard,34.7%,50.0%
2387,https://leetcode.com/problems/median-of-a-row-wise-sorted-matrix,Median of a Row Wise Sorted Matrix,Medium,69.9%,50.0%
2920,https://leetcode.com/problems/maximum-points-after-collecting-coins-from-all-nodes,Maximum Points After Collecting Coins From All Nodes,Hard,35.8%,50.0%
1262,https://leetcode.com/problems/greatest-sum-divisible-by-three,Greatest Sum Divisible by Three,Medium,51.0%,50.0%
752,https://leetcode.com/problems/open-the-lock,Open the Lock,Medium,60.8%,50.0%
3077,https://leetcode.com/problems/maximum-strength-of-k-disjoint-subarrays,Maximum Strength of K Disjoint Subarrays,Hard,26.9%,50.0%
2343,https://leetcode.com/problems/query-kth-smallest-trimmed-number,Query Kth Smallest Trimmed Number,Medium,45.8%,50.0%
1927,https://leetcode.com/problems/sum-game,Sum Game,Medium,48.5%,62.5%
2352,https://leetcode.com/problems/equal-row-and-column-pairs,Equal Row and Column Pairs,Medium,70.6%,50.0%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.4%,75.0%
3016,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-ii,Minimum Number of Pushes to Type Word II,Medium,79.9%,62.5%
1383,https://leetcode.com/problems/maximum-performance-of-a-team,Maximum Performance of a Team,Hard,47.5%,62.5%
470,https://leetcode.com/problems/implement-rand10-using-rand7,Implement Rand10() Using Rand7(),Medium,45.9%,50.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,50.0%
2972,https://leetcode.com/problems/count-the-number-of-incremovable-subarrays-ii,Count the Number of Incremovable Subarrays II,Hard,39.2%,87.5%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.1%,62.5%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,65.8%,62.5%
1283,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Find the Smallest Divisor Given a Threshold,Medium,63.9%,62.5%
2680,https://leetcode.com/problems/maximum-or,Maximum OR,Medium,41.4%,50.0%
1569,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst,Number of Ways to Reorder Array to Get Same BST,Hard,53.7%,50.0%
2617,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,Minimum Number of Visited Cells in a Grid,Hard,22.8%,50.0%
2984,https://leetcode.com/problems/find-peak-calling-hours-for-each-city,Find Peak Calling Hours for Each City,Medium,62.0%,87.5%
209,https://leetcode.com/problems/minimum-size-subarray-sum,Minimum Size Subarray Sum,Medium,49.6%,50.0%
18,https://leetcode.com/problems/4sum,4Sum,Medium,38.4%,50.0%
1423,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,Maximum Points You Can Obtain from Cards,Medium,55.9%,50.0%
943,https://leetcode.com/problems/find-the-shortest-superstring,Find the Shortest Superstring,Hard,44.4%,50.0%
1937,https://leetcode.com/problems/maximum-number-of-points-with-cost,Maximum Number of Points with Cost,Medium,42.1%,50.0%
3323,https://leetcode.com/problems/minimize-connected-groups-by-inserting-interval,Minimize Connected Groups by Inserting Interval,Medium,50.0%,87.5%
1574,https://leetcode.com/problems/shortest-subarray-to-be-removed-to-make-array-sorted,Shortest Subarray to be Removed to Make Array Sorted,Medium,51.4%,50.0%
3332,https://leetcode.com/problems/maximum-points-tourist-can-earn,Maximum Points Tourist Can Earn,Medium,46.4%,87.5%
475,https://leetcode.com/problems/heaters,Heaters,Medium,40.1%,62.5%
668,https://leetcode.com/problems/kth-smallest-number-in-multiplication-table,Kth Smallest Number in Multiplication Table,Hard,53.0%,50.0%
3383,https://leetcode.com/problems/minimum-runes-to-add-to-cast-spell,Minimum Runes to Add to Cast Spell,Hard,41.8%,87.5%
2434,https://leetcode.com/problems/using-a-robot-to-print-the-lexicographically-smallest-string,Using a Robot to Print the Lexicographically Smallest String,Medium,62.6%,50.0%
