ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,87.5%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.1%,62.5%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.9%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.2%,75.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.8%,50.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.0%,75.0%
2388,https://leetcode.com/problems/change-null-values-in-a-table-to-the-previous-value,Change Null Values in a Table to the Previous Value,Medium,51.3%,87.5%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.0%,50.0%
570,https://leetcode.com/problems/managers-with-at-least-5-direct-reports,Managers with at Least 5 Direct Reports,Medium,48.9%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.8%,75.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,46.5%,50.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,58.2%,100.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.9%,50.0%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,45.5%,75.0%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,59.7%,50.0%
2594,https://leetcode.com/problems/minimum-time-to-repair-cars,Minimum Time to Repair Cars,Medium,59.7%,50.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,47.5%,50.0%
197,https://leetcode.com/problems/rising-temperature,Rising Temperature,Easy,50.8%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.0%,75.0%
485,https://leetcode.com/problems/max-consecutive-ones,Max Consecutive Ones,Easy,63.7%,50.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.6%,50.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,50.5%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.9%,50.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.7%,62.5%
183,https://leetcode.com/problems/customers-who-never-order,Customers Who Never Order,Easy,71.2%,62.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.8%,50.0%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,64.5%,75.0%
177,https://leetcode.com/problems/nth-highest-salary,Nth Highest Salary,Medium,38.6%,50.0%
493,https://leetcode.com/problems/reverse-pairs,Reverse Pairs,Hard,33.2%,50.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.7%,50.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,50.0%
3703,https://leetcode.com/problems/remove-k-balanced-substrings,Remove K-Balanced Substrings,Medium,31.9%,50.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.0%,50.0%
