ID,URL,Title,Difficulty,Acceptance %,Frequency %
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,44.1%,87.5%
2594,https://leetcode.com/problems/minimum-time-to-repair-cars,Minimum Time to Repair Cars,Medium,59.9%,75.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,100.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,75.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,87.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,75.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,87.5%
197,https://leetcode.com/problems/rising-temperature,Rising Temperature,Easy,50.2%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,75.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,75.0%
