ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.8%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.2%,87.5%
1283,https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold,Find the Smallest Divisor Given a Threshold,Medium,65.9%,75.0%
611,https://leetcode.com/problems/valid-triangle-number,Valid Triangle Number,Medium,56.9%,75.0%
1611,https://leetcode.com/problems/minimum-one-bit-operations-to-make-integers-zero,Minimum One Bit Operations to Make Integers Zero,Hard,78.4%,62.5%
3136,https://leetcode.com/problems/valid-word,Valid Word,Easy,50.9%,62.5%
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,51.6%,62.5%
2533,https://leetcode.com/problems/number-of-good-binary-strings,Number of Good Binary Strings,Medium,52.9%,62.5%
1492,https://leetcode.com/problems/the-kth-factor-of-n,The kth Factor of n,Medium,70.4%,75.0%
1560,https://leetcode.com/problems/most-visited-sector-in-a-circular-track,Most Visited Sector in a Circular Track,Easy,60.0%,62.5%
2366,https://leetcode.com/problems/minimum-replacements-to-sort-the-array,Minimum Replacements to Sort the Array,Hard,53.1%,62.5%
1151,https://leetcode.com/problems/minimum-swaps-to-group-all-1s-together,Minimum Swaps to Group All 1's Together,Medium,61.2%,62.5%
2491,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,Divide Players Into Teams of Equal Skill,Medium,68.9%,62.5%
1451,https://leetcode.com/problems/rearrange-words-in-a-sentence,Rearrange Words in a Sentence,Medium,67.1%,62.5%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,60.0%,62.5%
1101,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,The Earliest Moment When Everyone Become Friends,Medium,66.1%,62.5%
2168,https://leetcode.com/problems/unique-substrings-with-equal-digit-frequency,Unique Substrings With Equal Digit Frequency,Medium,64.6%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.4%,75.0%
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,73.1%,75.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.5%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,75.0%
316,https://leetcode.com/problems/remove-duplicate-letters,Remove Duplicate Letters,Medium,53.2%,100.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.6%,75.0%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.7%,62.5%
697,https://leetcode.com/problems/degree-of-an-array,Degree of an Array,Easy,58.4%,62.5%
3168,https://leetcode.com/problems/minimum-number-of-chairs-in-a-waiting-room,Minimum Number of Chairs in a Waiting Room,Easy,79.4%,87.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.2%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.0%,62.5%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.7%,62.5%
2062,https://leetcode.com/problems/count-vowel-substrings-of-a-string,Count Vowel Substrings of a String,Easy,73.2%,75.0%
926,https://leetcode.com/problems/flip-string-to-monotone-increasing,Flip String to Monotone Increasing,Medium,61.9%,75.0%
3035,https://leetcode.com/problems/maximum-palindromes-after-operations,Maximum Palindromes After Operations,Medium,46.5%,87.5%
255,https://leetcode.com/problems/verify-preorder-sequence-in-binary-search-tree,Verify Preorder Sequence in Binary Search Tree,Medium,51.8%,62.5%
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,62.7%,62.5%
230,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,76.8%,62.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.7%,62.5%
1963,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,Minimum Number of Swaps to Make the String Balanced,Medium,78.0%,62.5%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,57.1%,62.5%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,35.8%,62.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,75.0%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.6%,62.5%
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Medium,41.8%,62.5%
1962,https://leetcode.com/problems/remove-stones-to-minimize-the-total,Remove Stones to Minimize the Total,Medium,65.7%,62.5%
