ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,87.5%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,46.4%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,50.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,50.0%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,30.4%,37.5%
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,19.4%,50.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.3%,50.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,37.5%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,29.4%,12.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.0%,50.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,45.6%,62.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,50.0%
16,https://leetcode.com/problems/3sum-closest,3Sum Closest,Medium,47.0%,25.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.0%,37.5%
18,https://leetcode.com/problems/4sum,4Sum,Medium,38.4%,37.5%
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,49.2%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,62.5%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.0%,50.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,77.3%,37.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,75.0%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,60.5%,62.5%
27,https://leetcode.com/problems/remove-element,Remove Element,Easy,60.2%,25.0%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,45.1%,25.0%
29,https://leetcode.com/problems/divide-two-integers,Divide Two Integers,Medium,18.5%,25.0%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,43.3%,75.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,50.0%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,47.0%,75.0%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,62.4%,12.5%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,60.7%,25.0%
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,57.8%,25.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,37.5%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,42.4%,37.5%
46,https://leetcode.com/problems/permutations,Permutations,Medium,80.8%,25.0%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.1%,37.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,50.0%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,37.2%,87.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,50.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,37.5%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,39.6%,25.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,87.5%
57,https://leetcode.com/problems/insert-interval,Insert Interval,Medium,43.6%,12.5%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,65.9%,37.5%
65,https://leetcode.com/problems/valid-number,Valid Number,Hard,21.7%,62.5%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,47.7%,37.5%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,55.8%,37.5%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,48.4%,37.5%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,40.5%,25.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,50.0%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,48.1%,75.0%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,59.0%,12.5%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,60.9%,50.0%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,67.8%,50.0%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,45.5%,75.0%
78,https://leetcode.com/problems/subsets,Subsets,Medium,81.0%,50.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,45.4%,12.5%
80,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,Medium,63.0%,25.0%
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,52.4%,37.5%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,47.6%,37.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,87.5%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,34.5%,25.0%
102,https://leetcode.com/problems/binary-tree-level-order-traversal,Binary Tree Level Order Traversal,Medium,70.8%,25.0%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,61.9%,25.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,44.0%,50.0%
113,https://leetcode.com/problems/path-sum-ii,Path Sum II,Medium,60.6%,25.0%
116,https://leetcode.com/problems/populating-next-right-pointers-in-each-node,Populating Next Right Pointers in Each Node,Medium,65.6%,37.5%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,77.1%,37.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,75.0%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,41.3%,50.0%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,51.2%,75.0%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,43.1%,50.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,37.5%
129,https://leetcode.com/problems/sum-root-to-leaf-numbers,Sum Root to Leaf Numbers,Medium,68.6%,75.0%
131,https://leetcode.com/problems/palindrome-partitioning,Palindrome Partitioning,Medium,72.4%,25.0%
133,https://leetcode.com/problems/clone-graph,Clone Graph,Medium,62.7%,62.5%
136,https://leetcode.com/problems/single-number,Single Number,Easy,76.1%,25.0%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,60.8%,75.0%
139,https://leetcode.com/problems/word-break,Word Break,Medium,48.4%,50.0%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,53.8%,37.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,75.0%
150,https://leetcode.com/problems/evaluate-reverse-polish-notation,Evaluate Reverse Polish Notation,Medium,55.1%,12.5%
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,29.1%,25.0%
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,52.8%,25.0%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,52.3%,37.5%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.5%,87.5%
163,https://leetcode.com/problems/missing-ranges,Missing Ranges,Easy,35.3%,50.0%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,63.5%,37.5%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,65.8%,50.0%
173,https://leetcode.com/problems/binary-search-tree-iterator,Binary Search Tree Iterator,Medium,75.0%,62.5%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,43.2%,37.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.4%,25.0%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,67.3%,87.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,50.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,25.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,49.4%,62.5%
209,https://leetcode.com/problems/minimum-size-subarray-sum,Minimum Size Subarray Sum,Medium,49.6%,25.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,53.6%,37.5%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.4%,12.5%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.1%,87.5%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,63.3%,25.0%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,49.2%,62.5%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,45.7%,50.0%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,45.9%,87.5%
231,https://leetcode.com/problems/power-of-two,Power of Two,Easy,48.4%,12.5%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,56.1%,37.5%
235,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree,Lowest Common Ancestor of a Binary Search Tree,Medium,68.5%,50.0%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,67.0%,87.5%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,37.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,66.8%,37.5%
246,https://leetcode.com/problems/strobogrammatic-number,Strobogrammatic Number,Easy,47.6%,50.0%
249,https://leetcode.com/problems/group-shifted-strings,Group Shifted Strings,Medium,67.4%,62.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.2%,50.0%
266,https://leetcode.com/problems/palindrome-permutation,Palindrome Permutation,Easy,68.5%,12.5%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,36.7%,37.5%
270,https://leetcode.com/problems/closest-binary-search-tree-value,Closest Binary Search Tree Value,Easy,49.7%,62.5%
282,https://leetcode.com/problems/expression-add-operators,Expression Add Operators,Hard,41.8%,62.5%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,62.9%,37.5%
286,https://leetcode.com/problems/walls-and-gates,Walls and Gates,Medium,63.0%,25.0%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.4%,50.0%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,59.1%,37.5%
2265,https://leetcode.com/problems/count-nodes-equal-to-average-of-subtree,Count Nodes Equal to Average of Subtree,Medium,86.5%,37.5%
301,https://leetcode.com/problems/remove-invalid-parentheses,Remove Invalid Parentheses,Hard,49.3%,50.0%
314,https://leetcode.com/problems/binary-tree-vertical-order-traversal,Binary Tree Vertical Order Traversal,Medium,57.2%,100.0%
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,44.5%,50.0%
329,https://leetcode.com/problems/longest-increasing-path-in-a-matrix,Longest Increasing Path in a Matrix,Hard,55.4%,37.5%
333,https://leetcode.com/problems/largest-bst-subtree,Largest BST Subtree,Medium,45.6%,25.0%
334,https://leetcode.com/problems/increasing-triplet-subsequence,Increasing Triplet Subsequence,Medium,39.1%,12.5%
2235,https://leetcode.com/problems/add-two-integers,Add Two Integers,Easy,88.1%,37.5%
339,https://leetcode.com/problems/nested-list-weight-sum,Nested List Weight Sum,Medium,85.6%,87.5%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.3%,37.5%
346,https://leetcode.com/problems/moving-average-from-data-stream,Moving Average from Data Stream,Easy,80.0%,75.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.7%,75.0%
348,https://leetcode.com/problems/design-tic-tac-toe,Design Tic-Tac-Toe,Medium,58.6%,50.0%
378,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix,Kth Smallest Element in a Sorted Matrix,Medium,63.7%,62.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.0%,37.5%
381,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,35.8%,12.5%
383,https://leetcode.com/problems/ransom-note,Ransom Note,Easy,64.6%,12.5%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,61.3%,50.0%
398,https://leetcode.com/problems/random-pick-index,Random Pick Index,Medium,64.6%,50.0%
408,https://leetcode.com/problems/valid-word-abbreviation,Valid Word Abbreviation,Easy,36.9%,100.0%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,58.3%,12.5%
415,https://leetcode.com/problems/add-strings,Add Strings,Easy,51.9%,62.5%
419,https://leetcode.com/problems/battleships-in-a-board,Battleships in a Board,Medium,76.6%,37.5%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,57.4%,37.5%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,58.3%,25.0%
480,https://leetcode.com/problems/sliding-window-median,Sliding Window Median,Hard,38.7%,62.5%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,59.6%,37.5%
494,https://leetcode.com/problems/target-sum,Target Sum,Medium,50.9%,25.0%
496,https://leetcode.com/problems/next-greater-element-i,Next Greater Element I,Easy,74.7%,12.5%
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,63.3%,62.5%
523,https://leetcode.com/problems/continuous-subarray-sum,Continuous Subarray Sum,Medium,30.9%,62.5%
525,https://leetcode.com/problems/contiguous-array,Contiguous Array,Medium,49.5%,25.0%
529,https://leetcode.com/problems/minesweeper,Minesweeper,Medium,68.2%,37.5%
536,https://leetcode.com/problems/construct-binary-tree-from-string,Construct Binary Tree from String,Medium,58.4%,50.0%
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,63.8%,87.5%
545,https://leetcode.com/problems/boundary-of-binary-tree,Boundary of Binary Tree,Medium,47.2%,37.5%
556,https://leetcode.com/problems/next-greater-element-iii,Next Greater Element III,Medium,34.6%,37.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,45.6%,87.5%
584,https://leetcode.com/problems/find-customer-referee,Find Customer Referee,Easy,71.7%,25.0%
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,28.9%,37.5%
636,https://leetcode.com/problems/exclusive-time-of-functions,Exclusive Time of Functions,Medium,64.9%,62.5%
643,https://leetcode.com/problems/maximum-average-subarray-i,Maximum Average Subarray I,Easy,45.5%,37.5%
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,71.8%,62.5%
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,48.8%,37.5%
