ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,75.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,46.7%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,75.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,62.5%
1292,https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,Medium,53.6%,100.0%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,48.4%,87.5%
270,https://leetcode.com/problems/closest-binary-search-tree-value,Closest Binary Search Tree Value,Easy,49.7%,75.0%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,34.4%,75.0%
3445,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii,Maximum Difference Between Even and Odd Frequency II,Hard,49.1%,100.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,62.5%
3441,https://leetcode.com/problems/minimum-cost-good-caption,Minimum Cost Good Caption,Hard,19.0%,100.0%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,39.6%,62.5%
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,58.0%,62.5%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,62.5%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,45.6%,62.5%
