ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.9%,62.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.8%,75.0%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.1%,62.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.8%,62.5%
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,59.1%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.7%,62.5%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,47.5%,87.5%
1292,https://leetcode.com/problems/maximum-side-length-of-a-square-with-sum-less-than-or-equal-to-threshold,Maximum Side Length of a Square with Sum Less than or Equal to Threshold,Medium,53.8%,100.0%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,48.7%,87.5%
270,https://leetcode.com/problems/closest-binary-search-tree-value,Closest Binary Search Tree Value,Easy,49.4%,75.0%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,34.7%,75.0%
3445,https://leetcode.com/problems/maximum-difference-between-even-and-odd-frequency-ii,Maximum Difference Between Even and Odd Frequency II,Hard,48.7%,100.0%
3441,https://leetcode.com/problems/minimum-cost-good-caption,Minimum Cost Good Caption,Hard,19.5%,100.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.3%,62.5%
