ID,URL,Title,Difficulty,Acceptance %,Frequency %
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,47.0%,75.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.4%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.7%,100.0%
1086,https://leetcode.com/problems/high-five,High Five,Easy,74.2%,75.0%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.8%,50.0%
166,https://leetcode.com/problems/fraction-to-recurring-decimal,Fraction to Recurring Decimal,Medium,31.1%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,52.3%,62.5%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.5%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,57.0%,50.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.4%,50.0%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,60.3%,75.0%
657,https://leetcode.com/problems/robot-return-to-origin,Robot Return to Origin,Easy,78.2%,50.0%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,42.1%,50.0%
695,https://leetcode.com/problems/max-area-of-island,Max Area of Island,Medium,74.1%,50.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.5%,50.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.8%,50.0%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.9%,50.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.7%,50.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.9%,50.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,45.2%,50.0%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,67.0%,50.0%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.9%,50.0%
1665,https://leetcode.com/problems/minimum-initial-energy-to-finish-tasks,Minimum Initial Energy to Finish Tasks,Hard,76.5%,62.5%
706,https://leetcode.com/problems/design-hashmap,Design HashMap,Easy,66.7%,50.0%
1823,https://leetcode.com/problems/find-the-winner-of-the-circular-game,Find the Winner of the Circular Game,Medium,82.3%,50.0%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,79.1%,50.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.6%,50.0%
2097,https://leetcode.com/problems/valid-arrangement-of-pairs,Valid Arrangement of Pairs,Hard,66.6%,50.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,50.0%
1535,https://leetcode.com/problems/find-the-winner-of-an-array-game,Find the Winner of an Array Game,Medium,56.9%,50.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.8%,50.0%
516,https://leetcode.com/problems/longest-palindromic-subsequence,Longest Palindromic Subsequence,Medium,65.7%,75.0%
240,https://leetcode.com/problems/search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,57.6%,50.0%
