ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,100.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.7%,87.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.8%,100.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.2%,87.5%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.1%,75.0%
2617,https://leetcode.com/problems/minimum-number-of-visited-cells-in-a-grid,Minimum Number of Visited Cells in a Grid,Hard,23.6%,75.0%
1702,https://leetcode.com/problems/maximum-binary-string-after-change,Maximum Binary String After Change,Medium,48.0%,75.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.2%,100.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.9%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.3%,87.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.5%,75.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.0%,75.0%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,74.9%,75.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,58.8%,75.0%
679,https://leetcode.com/problems/24-game,24 Game,Hard,59.3%,75.0%
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,36.4%,75.0%
141,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,53.9%,75.0%
