ID,URL,Title,Difficulty,Acceptance %,Frequency %
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,63.7%,50.0%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,49.7%,100.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,46.3%,87.5%
1160,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,Find Words That Can Be Formed by Characters,Easy,71.3%,87.5%
1604,https://leetcode.com/problems/alert-using-same-key-card-three-or-more-times-in-a-one-hour-period,Alert Using Same Key-Card Three or More Times in a One Hour Period,Medium,46.0%,87.5%
2133,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,Check if Every Row and Column Contains All Numbers,Easy,53.7%,87.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,50.3%,50.0%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.8%,50.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,54.5%,50.0%
383,https://leetcode.com/problems/ransom-note,Ransom Note,Easy,65.2%,75.0%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,49.6%,62.5%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.1%,50.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,50.0%
2225,https://leetcode.com/problems/find-players-with-zero-or-one-losses,Find Players With Zero or One Losses,Medium,72.5%,50.0%
