ID,URL,Title,Difficulty,Acceptance %,Frequency %
2512,https://leetcode.com/problems/reward-top-k-students,Reward Top K Students,Medium,46.1%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,62.5%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,48.9%,75.0%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,47.7%,100.0%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,43.7%,75.0%
844,https://leetcode.com/problems/backspace-string-compare,Backspace String Compare,Easy,49.5%,75.0%
2146,https://leetcode.com/problems/k-highest-ranked-items-within-a-price-range,K Highest Ranked Items Within a Price Range,Medium,45.0%,62.5%
2032,https://leetcode.com/problems/two-out-of-three,Two Out of Three,Easy,76.7%,62.5%
1034,https://leetcode.com/problems/coloring-a-border,Coloring A Border,Medium,49.9%,62.5%
2159,https://leetcode.com/problems/order-two-columns-independently,Order Two Columns Independently,Medium,61.1%,62.5%
1948,https://leetcode.com/problems/delete-duplicate-folders-in-system,Delete Duplicate Folders in System,Hard,53.8%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,62.5%
