ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,100.0%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,46.4%,50.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,87.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,62.5%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,30.4%,62.5%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.3%,75.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,37.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,68.8%,37.5%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,45.6%,62.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,37.2%,50.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,87.5%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.0%,50.0%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,63.3%,50.0%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,60.5%,75.0%
1946,https://leetcode.com/problems/largest-number-after-mutating-substring,Largest Number After Mutating Substring,Medium,37.0%,87.5%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,43.3%,75.0%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,74.9%,37.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,62.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,75.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,50.0%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,59.0%,37.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.1%,75.0%
2940,https://leetcode.com/problems/find-building-where-alice-and-bob-can-meet,Find Building Where Alice and Bob Can Meet,Hard,52.2%,87.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,87.5%
1071,https://leetcode.com/problems/greatest-common-divisor-of-strings,Greatest Common Divisor of Strings,Easy,52.8%,37.5%
131,https://leetcode.com/problems/palindrome-partitioning,Palindrome Partitioning,Medium,72.4%,50.0%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,46.5%,50.0%
