ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,50.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,62.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,62.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,68.8%,37.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,75.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,77.3%,50.0%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,43.3%,75.0%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,74.9%,37.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,75.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,50.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,75.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,62.5%
2038,https://leetcode.com/problems/remove-colored-pieces-if-both-neighbors-are-the-same-color,Remove Colored Pieces if Both Neighbors are the Same Color,Medium,62.9%,87.5%
1167,https://leetcode.com/problems/minimum-cost-to-connect-sticks,Minimum Cost to Connect Sticks,Medium,71.2%,50.0%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,77.1%,50.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,75.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,69.6%,50.0%
2068,https://leetcode.com/problems/check-whether-two-strings-are-almost-equivalent,Check Whether Two Strings are Almost Equivalent,Easy,63.7%,87.5%
2104,https://leetcode.com/problems/sum-of-subarray-ranges,Sum of Subarray Ranges,Medium,60.1%,37.5%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,67.3%,37.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,58.2%,62.5%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,50.0%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,63.3%,37.5%
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,51.6%,75.0%
263,https://leetcode.com/problems/ugly-number,Ugly Number,Easy,42.4%,37.5%
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,70.7%,87.5%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,46.7%,50.0%
2283,https://leetcode.com/problems/check-if-number-has-equal-digit-count-and-digit-value,Check if Number Has Equal Digit Count and Digit Value,Easy,72.5%,75.0%
2273,https://leetcode.com/problems/find-resultant-array-after-removing-anagrams,Find Resultant Array After Removing Anagrams,Easy,59.6%,75.0%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,76.6%,50.0%
1247,https://leetcode.com/problems/minimum-swaps-to-make-strings-equal,Minimum Swaps to Make Strings Equal,Medium,64.8%,75.0%
357,https://leetcode.com/problems/count-numbers-with-unique-digits,Count Numbers with Unique Digits,Medium,54.5%,62.5%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,74.5%,50.0%
1356,https://leetcode.com/problems/sort-integers-by-the-number-of-1-bits,Sort Integers by The Number of 1 Bits,Easy,78.7%,100.0%
435,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,Medium,55.7%,50.0%
2415,https://leetcode.com/problems/reverse-odd-levels-of-binary-tree,Reverse Odd Levels of Binary Tree,Medium,86.7%,75.0%
2393,https://leetcode.com/problems/count-strictly-increasing-subarrays,Count Strictly Increasing Subarrays,Medium,71.3%,37.5%
2448,https://leetcode.com/problems/minimum-cost-to-make-array-equal,Minimum Cost to Make Array Equal,Hard,46.4%,50.0%
1418,https://leetcode.com/problems/display-table-of-food-orders-in-a-restaurant,Display Table of Food Orders in a Restaurant,Medium,75.7%,75.0%
2503,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries,Maximum Number of Points From Grid Queries,Hard,59.5%,75.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,45.6%,50.0%
1481,https://leetcode.com/problems/least-number-of-unique-integers-after-k-removals,Least Number of Unique Integers after K Removals,Medium,63.5%,87.5%
1529,https://leetcode.com/problems/minimum-suffix-flips,Minimum Suffix Flips,Medium,73.5%,87.5%
2602,https://leetcode.com/problems/minimum-operations-to-make-all-array-elements-equal,Minimum Operations to Make All Array Elements Equal,Medium,37.0%,62.5%
697,https://leetcode.com/problems/degree-of-an-array,Degree of an Array,Easy,57.5%,37.5%
1625,https://leetcode.com/problems/lexicographically-smallest-string-after-applying-operations,Lexicographically Smallest String After Applying Operations,Medium,65.4%,75.0%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,67.5%,50.0%
741,https://leetcode.com/problems/cherry-pickup,Cherry Pickup,Hard,38.0%,37.5%
2696,https://leetcode.com/problems/minimum-string-length-after-removing-substrings,Minimum String Length After Removing Substrings,Easy,77.1%,37.5%
752,https://leetcode.com/problems/open-the-lock,Open the Lock,Medium,60.8%,37.5%
780,https://leetcode.com/problems/reaching-points,Reaching Points,Hard,33.7%,87.5%
1710,https://leetcode.com/problems/maximum-units-on-a-truck,Maximum Units on a Truck,Easy,74.3%,62.5%
1812,https://leetcode.com/problems/determine-color-of-a-chessboard-square,Determine Color of a Chessboard Square,Easy,79.4%,75.0%
1843,https://leetcode.com/problems/suspicious-bank-accounts,Suspicious Bank Accounts,Medium,45.0%,75.0%
1012,https://leetcode.com/problems/numbers-with-repeated-digits,Numbers With Repeated Digits,Hard,43.6%,75.0%
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,73.1%,50.0%
3216,https://leetcode.com/problems/lexicographically-smallest-string-after-a-swap,Lexicographically Smallest String After a Swap,Easy,53.7%,75.0%
3386,https://leetcode.com/problems/button-with-longest-push-time,Button with Longest Push Time,Easy,40.6%,75.0%
1464,https://leetcode.com/problems/maximum-product-of-two-elements-in-an-array,Maximum Product of Two Elements in an Array,Easy,83.3%,62.5%
2587,https://leetcode.com/problems/rearrange-array-to-maximize-prefix-score,Rearrange Array to Maximize Prefix Score,Medium,41.6%,50.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.7%,50.0%
696,https://leetcode.com/problems/count-binary-substrings,Count Binary Substrings,Easy,66.0%,50.0%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.1%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,50.0%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,63.5%,37.5%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.3%,37.5%
46,https://leetcode.com/problems/permutations,Permutations,Medium,80.8%,37.5%
3159,https://leetcode.com/problems/find-occurrences-of-an-element-in-an-array,Find Occurrences of an Element in an Array,Medium,72.7%,37.5%
1661,https://leetcode.com/problems/average-time-of-process-per-machine,Average Time of Process per Machine,Easy,68.3%,37.5%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.0%,37.5%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,60.9%,37.5%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.1%,37.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,37.5%
384,https://leetcode.com/problems/shuffle-an-array,Shuffle an Array,Medium,59.1%,37.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,37.5%
453,https://leetcode.com/problems/minimum-moves-to-equal-array-elements,Minimum Moves to Equal Array Elements,Medium,57.8%,37.5%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.4%,37.5%
