ID,URL,Title,Difficulty,Acceptance %,Frequency %
2930,https://leetcode.com/problems/number-of-strings-which-can-be-rearranged-to-contain-substring,Number of Strings Which Can Be Rearranged to Contain Substring,Medium,55.4%,75.0%
2565,https://leetcode.com/problems/subsequence-with-the-minimum-score,Subsequence With the Minimum Score,Hard,32.5%,75.0%
2831,https://leetcode.com/problems/find-the-longest-equal-subarray,Find the Longest Equal Subarray,Medium,36.4%,62.5%
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,55.4%,100.0%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,50.7%,75.0%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,55.2%,75.0%
740,https://leetcode.com/problems/delete-and-earn,Delete and Earn,Medium,56.8%,75.0%
1761,https://leetcode.com/problems/minimum-degree-of-a-connected-trio-in-a-graph,Minimum Degree of a Connected Trio in a Graph,Hard,43.5%,62.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,75.0%
2959,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,Number of Possible Sets of Closing Branches,Hard,48.7%,62.5%
2953,https://leetcode.com/problems/count-complete-substrings,Count Complete Substrings,Hard,28.8%,62.5%
2742,https://leetcode.com/problems/painting-the-walls,Painting the Walls,Hard,48.6%,75.0%
2771,https://leetcode.com/problems/longest-non-decreasing-subarray-from-two-arrays,Longest Non-decreasing Subarray From Two Arrays,Medium,29.9%,62.5%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,39.6%,62.5%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.1%,62.5%
180,https://leetcode.com/problems/consecutive-numbers,Consecutive Numbers,Medium,46.2%,62.5%
355,https://leetcode.com/problems/design-twitter,Design Twitter,Medium,42.8%,75.0%
1094,https://leetcode.com/problems/car-pooling,Car Pooling,Medium,56.1%,62.5%
2187,https://leetcode.com/problems/minimum-time-to-complete-trips,Minimum Time to Complete Trips,Medium,39.1%,62.5%
2444,https://leetcode.com/problems/count-subarrays-with-fixed-bounds,Count Subarrays With Fixed Bounds,Hard,69.4%,62.5%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,44.1%,62.5%
