ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,87.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,58.2%,100.0%
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,63.3%,87.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,87.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,87.5%
2642,https://leetcode.com/problems/design-graph-with-shortest-path-calculator,Design Graph With Shortest Path Calculator,Hard,64.2%,87.5%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,56.6%,87.5%
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,28.9%,87.5%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,43.3%,87.5%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,69.7%,87.5%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,36.5%,87.5%
