ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,87.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.8%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,62.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,87.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,87.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,87.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.2%,50.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.7%,75.0%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,47.7%,75.0%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,41.3%,62.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,65.0%,50.0%
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,70.7%,50.0%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,61.9%,50.0%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,41.2%,50.0%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,56.6%,50.0%
987,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,Vertical Order Traversal of a Binary Tree,Hard,51.6%,50.0%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.1%,50.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.3%,50.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,50.0%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,48.9%,50.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,50.0%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,46.4%,50.0%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,48.1%,62.5%
