ID,URL,Title,Difficulty,Acceptance %,Frequency %
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,100.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,55.9%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,87.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.7%,75.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,57.0%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,62.5%
755,https://leetcode.com/problems/pour-water,Pour Water,Medium,48.0%,62.5%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,46.5%,62.5%
697,https://leetcode.com/problems/degree-of-an-array,Degree of an Array,Easy,57.5%,62.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.8%,62.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,87.5%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,48.1%,75.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,61.3%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,57.9%,75.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,62.5%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,46.8%,87.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,62.5%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,61.7%,75.0%
1944,https://leetcode.com/problems/number-of-visible-people-in-a-queue,Number of Visible People in a Queue,Hard,71.4%,62.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,67.8%,62.5%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.1%,75.0%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.4%,62.5%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,47.4%,62.5%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,30.4%,62.5%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,53.4%,75.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,62.5%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.4%,87.5%
2291,https://leetcode.com/problems/maximum-profit-from-trading-stocks,Maximum Profit From Trading Stocks,Medium,46.7%,62.5%
1824,https://leetcode.com/problems/minimum-sideway-jumps,Minimum Sideway Jumps,Medium,50.9%,62.5%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,59.4%,62.5%
1209,https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii,Remove All Adjacent Duplicates in String II,Medium,59.7%,62.5%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,60.9%,62.5%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.0%,62.5%
368,https://leetcode.com/problems/largest-divisible-subset,Largest Divisible Subset,Medium,48.9%,62.5%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,41.2%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,62.5%
