ID,URL,Title,Difficulty,Acceptance %,Frequency %
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,75.0%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,51.8%,87.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,75.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,75.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,46.7%,75.0%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,48.9%,87.5%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,58.0%,75.0%
1046,https://leetcode.com/problems/last-stone-weight,Last Stone Weight,Easy,66.0%,62.5%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,38.6%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,75.0%
851,https://leetcode.com/problems/loud-and-rich,Loud and Rich,Medium,61.8%,62.5%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,62.4%,62.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,49.4%,62.5%
240,https://leetcode.com/problems/search-a-2d-matrix-ii,Search a 2D Matrix II,Medium,55.4%,62.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,45.4%,87.5%
259,https://leetcode.com/problems/3sum-smaller,3Sum Smaller,Medium,51.0%,62.5%
647,https://leetcode.com/problems/palindromic-substrings,Palindromic Substrings,Medium,71.8%,62.5%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,45.7%,62.5%
1160,https://leetcode.com/problems/find-words-that-can-be-formed-by-characters,Find Words That Can Be Formed by Characters,Easy,71.1%,100.0%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,66.8%,62.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,62.5%
780,https://leetcode.com/problems/reaching-points,Reaching Points,Hard,33.7%,62.5%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,46.8%,62.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.8%,62.5%
24,https://leetcode.com/problems/swap-nodes-in-pairs,Swap Nodes in Pairs,Medium,67.4%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,62.5%
1202,https://leetcode.com/problems/smallest-string-with-swaps,Smallest String With Swaps,Medium,59.5%,62.5%
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,70.7%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,62.5%
