ID,URL,Title,Difficulty,Acceptance %,Frequency %
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.2%,75.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,75.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,79.3%,100.0%
1275,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,Find Winner on a Tic Tac Toe Game,Easy,54.2%,75.0%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,78.1%,75.0%
191,https://leetcode.com/problems/number-of-1-bits,Number of 1 Bits,Easy,74.7%,87.5%
24,https://leetcode.com/problems/swap-nodes-in-pairs,Swap Nodes in Pairs,Medium,67.4%,87.5%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,48.6%,75.0%
1183,https://leetcode.com/problems/maximum-number-of-ones,Maximum Number of Ones,Hard,68.8%,75.0%
3163,https://leetcode.com/problems/string-compression-iii,String Compression III,Medium,66.9%,87.5%
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,49.2%,75.0%
876,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,Easy,80.7%,87.5%
190,https://leetcode.com/problems/reverse-bits,Reverse Bits,Easy,63.4%,87.5%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,63.5%,75.0%
231,https://leetcode.com/problems/power-of-two,Power of Two,Easy,48.4%,75.0%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,48.4%,75.0%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,60.5%,75.0%
58,https://leetcode.com/problems/length-of-last-word,Length of Last Word,Easy,56.5%,75.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,69.6%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,75.0%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,59.1%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,75.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,59.3%,75.0%
407,https://leetcode.com/problems/trapping-rain-water-ii,Trapping Rain Water II,Hard,58.9%,75.0%
