ID,URL,Title,Difficulty,Acceptance %,Frequency %
564,https://leetcode.com/problems/find-the-closest-palindrome,Find the Closest Palindrome,Hard,31.7%,62.5%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.0%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,62.5%
230,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,75.5%,62.5%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.3%,75.0%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.2%,75.0%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,36.7%,100.0%
427,https://leetcode.com/problems/construct-quad-tree,Construct Quad Tree,Medium,77.2%,87.5%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,56.8%,75.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,45.4%,62.5%
305,https://leetcode.com/problems/number-of-islands-ii,Number of Islands II,Hard,40.1%,75.0%
729,https://leetcode.com/problems/my-calendar-i,My Calendar I,Medium,58.2%,100.0%
3161,https://leetcode.com/problems/block-placement-queries,Block Placement Queries,Hard,17.0%,62.5%
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,79.1%,62.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,53.6%,75.0%
57,https://leetcode.com/problems/insert-interval,Insert Interval,Medium,43.6%,50.0%
384,https://leetcode.com/problems/shuffle-an-array,Shuffle an Array,Medium,59.1%,75.0%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,37.4%,50.0%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,Minimum Operations to Write the Letter Y on a Grid,Medium,62.2%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,62.5%
2672,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Number of Adjacent Elements With the Same Color,Medium,56.1%,50.0%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,45.9%,50.0%
286,https://leetcode.com/problems/walls-and-gates,Walls and Gates,Medium,63.0%,50.0%
679,https://leetcode.com/problems/24-game,24 Game,Hard,50.1%,50.0%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,55.2%,50.0%
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,52.8%,62.5%
505,https://leetcode.com/problems/the-maze-ii,The Maze II,Medium,54.2%,87.5%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,59.6%,87.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.7%,50.0%
1429,https://leetcode.com/problems/first-unique-number,First Unique Number,Medium,56.0%,50.0%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,61.7%,50.0%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,63.2%,62.5%
547,https://leetcode.com/problems/number-of-provinces,Number of Provinces,Medium,68.9%,50.0%
2101,https://leetcode.com/problems/detonate-the-maximum-bombs,Detonate the Maximum Bombs,Medium,49.3%,50.0%
1423,https://leetcode.com/problems/maximum-points-you-can-obtain-from-cards,Maximum Points You Can Obtain from Cards,Medium,55.9%,50.0%
1326,https://leetcode.com/problems/minimum-number-of-taps-to-open-to-water-a-garden,Minimum Number of Taps to Open to Water a Garden,Hard,50.7%,50.0%
2603,https://leetcode.com/problems/collect-coins-in-a-tree,Collect Coins in a Tree,Hard,37.1%,62.5%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,47.6%,62.5%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,66.7%,50.0%
3443,https://leetcode.com/problems/maximum-manhattan-distance-after-k-changes,Maximum Manhattan Distance After K Changes,Medium,54.0%,50.0%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.4%,50.0%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.2%,50.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.0%,50.0%
