ID,URL,Title,Difficulty,Acceptance %,Frequency %
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.0%,75.0%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,46.5%,75.0%
1094,https://leetcode.com/problems/car-pooling,Car Pooling,Medium,56.1%,87.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,75.0%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,41.6%,75.0%
437,https://leetcode.com/problems/path-sum-iii,Path Sum III,Medium,46.1%,87.5%
1373,https://leetcode.com/problems/maximum-sum-bst-in-binary-tree,Maximum Sum BST in Binary Tree,Hard,44.6%,75.0%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,47.6%,87.5%
752,https://leetcode.com/problems/open-the-lock,Open the Lock,Medium,60.8%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,45.4%,75.0%
1385,https://leetcode.com/problems/find-the-distance-value-between-two-arrays,Find the Distance Value Between Two Arrays,Easy,70.4%,75.0%
2659,https://leetcode.com/problems/make-array-empty,Make Array Empty,Hard,25.5%,75.0%
1905,https://leetcode.com/problems/count-sub-islands,Count Sub Islands,Medium,72.8%,75.0%
781,https://leetcode.com/problems/rabbits-in-forest,Rabbits in Forest,Medium,58.2%,75.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,45.5%,75.0%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.1%,87.5%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,43.0%,75.0%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,43.3%,75.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,87.5%
983,https://leetcode.com/problems/minimum-cost-for-tickets,Minimum Cost For Tickets,Medium,67.4%,87.5%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,57.4%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,100.0%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.5%,87.5%
962,https://leetcode.com/problems/maximum-width-ramp,Maximum Width Ramp,Medium,55.7%,75.0%
29,https://leetcode.com/problems/divide-two-integers,Divide Two Integers,Medium,18.5%,75.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,56.8%,75.0%
687,https://leetcode.com/problems/longest-univalue-path,Longest Univalue Path,Medium,42.7%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,75.0%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,43.3%,75.0%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,47.7%,87.5%
3026,https://leetcode.com/problems/maximum-good-subarray-sum,Maximum Good Subarray Sum,Medium,20.3%,75.0%
