ID,URL,Title,Difficulty,Acceptance %,Frequency %
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,29.4%,75.0%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,30.1%,87.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,53.6%,87.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.1%,87.5%
1299,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,Replace Elements with Greatest Element on Right Side,Easy,71.5%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,62.5%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,49.5%,100.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,77.3%,87.5%
796,https://leetcode.com/problems/rotate-string,Rotate String,Easy,64.1%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.1%,87.5%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,73.1%,87.5%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,56.3%,75.0%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,41.6%,87.5%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,39.6%,75.0%
316,https://leetcode.com/problems/remove-duplicate-letters,Remove Duplicate Letters,Medium,51.5%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,55.4%,75.0%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,77.1%,75.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,67.9%,75.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,61.3%,87.5%
463,https://leetcode.com/problems/island-perimeter,Island Perimeter,Easy,73.6%,75.0%
452,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,Minimum Number of Arrows to Burst Balloons,Medium,60.5%,75.0%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,40.5%,87.5%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,62.4%,75.0%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,53.4%,75.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,64.7%,87.5%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,41.4%,75.0%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,45.9%,75.0%
