ID,URL,Title,Difficulty,Acceptance %,Frequency %
272,https://leetcode.com/problems/closest-binary-search-tree-value-ii,Closest Binary Search Tree Value II,Hard,61.2%,62.5%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,66.4%,87.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.5%,75.0%
277,https://leetcode.com/problems/find-the-celebrity,Find the Celebrity,Medium,49.0%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.5%,87.5%
339,https://leetcode.com/problems/nested-list-weight-sum,Nested List Weight Sum,Medium,86.0%,75.0%
605,https://leetcode.com/problems/can-place-flowers,Can Place Flowers,Easy,29.2%,62.5%
364,https://leetcode.com/problems/nested-list-weight-sum-ii,Nested List Weight Sum II,Medium,67.0%,75.0%
366,https://leetcode.com/problems/find-leaves-of-binary-tree,Find Leaves of Binary Tree,Medium,81.3%,62.5%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.4%,62.5%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,46.0%,75.0%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.7%,62.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.7%,62.5%
716,https://leetcode.com/problems/max-stack,Max Stack,Hard,46.0%,100.0%
244,https://leetcode.com/problems/shortest-word-distance-ii,Shortest Word Distance II,Medium,62.9%,87.5%
698,https://leetcode.com/problems/partition-to-k-equal-sum-subsets,Partition to K Equal Sum Subsets,Medium,38.8%,62.5%
1004,https://leetcode.com/problems/max-consecutive-ones-iii,Max Consecutive Ones III,Medium,68.0%,62.5%
360,https://leetcode.com/problems/sort-transformed-array,Sort Transformed Array,Medium,58.2%,75.0%
319,https://leetcode.com/problems/bulb-switcher,Bulb Switcher,Medium,56.1%,62.5%
744,https://leetcode.com/problems/find-smallest-letter-greater-than-target,Find Smallest Letter Greater Than Target,Easy,59.4%,50.0%
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,78.4%,62.5%
1188,https://leetcode.com/problems/design-bounded-blocking-queue,Design Bounded Blocking Queue,Medium,73.9%,50.0%
381,https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed,Insert Delete GetRandom O(1) - Duplicates allowed,Hard,36.7%,75.0%
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,49.2%,62.5%
886,https://leetcode.com/problems/possible-bipartition,Possible Bipartition,Medium,52.8%,50.0%
61,https://leetcode.com/problems/rotate-list,Rotate List,Medium,42.9%,50.0%
617,https://leetcode.com/problems/merge-two-binary-trees,Merge Two Binary Trees,Easy,79.1%,62.5%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.9%,50.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.6%,62.5%
256,https://leetcode.com/problems/paint-house,Paint House,Medium,64.5%,62.5%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,69.1%,62.5%
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,31.0%,62.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.9%,50.0%
489,https://leetcode.com/problems/robot-room-cleaner,Robot Room Cleaner,Hard,78.0%,50.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,45.2%,62.5%
516,https://leetcode.com/problems/longest-palindromic-subsequence,Longest Palindromic Subsequence,Medium,65.7%,62.5%
65,https://leetcode.com/problems/valid-number,Valid Number,Hard,23.2%,50.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,50.0%
752,https://leetcode.com/problems/open-the-lock,Open the Lock,Medium,61.4%,50.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,59.0%,50.0%
863,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,Medium,67.8%,50.0%
