ID,URL,Title,Difficulty,Acceptance %,Frequency %
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,57.6%,100.0%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,46.4%,87.5%
109,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,Medium,65.5%,75.0%
632,https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists,Smallest Range Covering Elements from K Lists,Hard,69.9%,75.0%
126,https://leetcode.com/problems/word-ladder-ii,Word Ladder II,Hard,27.4%,75.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,62.5%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,57.3%,62.5%
158,https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times,Read N Characters Given read4 II - Call Multiple Times,Hard,43.1%,87.5%
1094,https://leetcode.com/problems/car-pooling,Car Pooling,Medium,56.1%,75.0%
716,https://leetcode.com/problems/max-stack,Max Stack,Hard,45.7%,75.0%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,68.8%,50.0%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.4%,50.0%
304,https://leetcode.com/problems/range-sum-query-2d-immutable,Range Sum Query 2D - Immutable,Medium,57.4%,62.5%
365,https://leetcode.com/problems/water-and-jug-problem,Water and Jug Problem,Medium,44.2%,50.0%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,59.1%,75.0%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,49.6%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,37.9%,50.0%
1723,https://leetcode.com/problems/find-minimum-time-to-finish-all-jobs,Find Minimum Time to Finish All Jobs,Hard,44.7%,37.5%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,37.2%,62.5%
1620,https://leetcode.com/problems/coordinate-with-maximum-network-quality,Coordinate With Maximum Network Quality,Medium,38.9%,50.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.3%,50.0%
1298,https://leetcode.com/problems/maximum-candies-you-can-get-from-boxes,Maximum Candies You Can Get from Boxes,Hard,68.1%,50.0%
958,https://leetcode.com/problems/check-completeness-of-a-binary-tree,Check Completeness of a Binary Tree,Medium,58.8%,75.0%
148,https://leetcode.com/problems/sort-list,Sort List,Medium,63.2%,50.0%
