ID,URL,Title,Difficulty,Acceptance %,Frequency %
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,48.4%,87.5%
2008,https://leetcode.com/problems/maximum-earnings-from-taxi,Maximum Earnings From Taxi,Medium,46.6%,100.0%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,43.3%,87.5%
459,https://leetcode.com/problems/repeated-substring-pattern,Repeated Substring Pattern,Easy,48.5%,100.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.4%,87.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,57.1%,87.5%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,43.2%,100.0%
280,https://leetcode.com/problems/wiggle-sort,Wiggle Sort,Medium,68.5%,87.5%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,50.3%,87.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,59.0%,100.0%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,63.2%,87.5%
494,https://leetcode.com/problems/target-sum,Target Sum,Medium,52.5%,87.5%
462,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,Minimum Moves to Equal Array Elements II,Medium,62.1%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,87.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.4%,87.5%
1302,https://leetcode.com/problems/deepest-leaves-sum,Deepest Leaves Sum,Medium,86.6%,100.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.9%,87.5%
724,https://leetcode.com/problems/find-pivot-index,Find Pivot Index,Easy,63.2%,100.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.2%,87.5%
