ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.5%,75.0%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.5%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,87.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.1%,50.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.2%,75.0%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.7%,50.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.6%,75.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.9%,75.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.4%,62.5%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,80.1%,50.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,75.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.3%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,62.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.1%,50.0%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,62.9%,50.0%
92,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,Medium,51.5%,50.0%
1046,https://leetcode.com/problems/last-stone-weight,Last Stone Weight,Easy,66.5%,75.0%
1197,https://leetcode.com/problems/minimum-knight-moves,Minimum Knight Moves,Medium,42.0%,37.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.8%,87.5%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,62.9%,50.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,87.5%
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,30.7%,37.5%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,47.0%,50.0%
190,https://leetcode.com/problems/reverse-bits,Reverse Bits,Easy,68.4%,62.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.2%,50.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,75.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.9%,37.5%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,50.3%,50.0%
1328,https://leetcode.com/problems/break-a-palindrome,Break a Palindrome,Medium,51.6%,50.0%
237,https://leetcode.com/problems/delete-node-in-a-linked-list,Delete Node in a Linked List,Medium,83.9%,37.5%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,72.0%,62.5%
274,https://leetcode.com/problems/h-index,H-Index,Medium,41.4%,37.5%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,62.5%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,64.3%,62.5%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.5%,50.0%
338,https://leetcode.com/problems/counting-bits,Counting Bits,Easy,80.6%,50.0%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.8%,37.5%
382,https://leetcode.com/problems/linked-list-random-node,Linked List Random Node,Medium,64.8%,50.0%
2571,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,Minimum Operations to Reduce an Integer to 0,Medium,62.4%,75.0%
1570,https://leetcode.com/problems/dot-product-of-two-sparse-vectors,Dot Product of Two Sparse Vectors,Medium,89.9%,62.5%
1610,https://leetcode.com/problems/maximum-number-of-visible-points,Maximum Number of Visible Points,Hard,38.2%,75.0%
773,https://leetcode.com/problems/sliding-puzzle,Sliding Puzzle,Hard,74.4%,37.5%
894,https://leetcode.com/problems/all-possible-full-binary-trees,All Possible Full Binary Trees,Medium,82.8%,37.5%
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,74.1%,62.5%
2461,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,Maximum Sum of Distinct Subarrays With Length K,Medium,43.0%,50.0%
2365,https://leetcode.com/problems/task-scheduler-ii,Task Scheduler II,Medium,54.8%,62.5%
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,21.0%,62.5%
223,https://leetcode.com/problems/rectangle-area,Rectangle Area,Medium,49.6%,50.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.4%,50.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.6%,37.5%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.6%,62.5%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,60.8%,50.0%
209,https://leetcode.com/problems/minimum-size-subarray-sum,Minimum Size Subarray Sum,Medium,51.7%,37.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.8%,50.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.9%,62.5%
83,https://leetcode.com/problems/remove-duplicates-from-sorted-list,Remove Duplicates from Sorted List,Easy,56.7%,50.0%
761,https://leetcode.com/problems/special-binary-string,Special Binary String,Hard,79.3%,100.0%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,75.5%,75.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.5%,50.0%
1948,https://leetcode.com/problems/delete-duplicate-folders-in-system,Delete Duplicate Folders in System,Hard,77.4%,37.5%
2539,https://leetcode.com/problems/count-the-number-of-good-subsequences,Count the Number of Good Subsequences,Medium,48.6%,50.0%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,56.4%,62.5%
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,80.8%,37.5%
2592,https://leetcode.com/problems/maximize-greatness-of-an-array,Maximize Greatness of an Array,Medium,61.7%,75.0%
191,https://leetcode.com/problems/number-of-1-bits,Number of 1 Bits,Easy,76.8%,37.5%
1669,https://leetcode.com/problems/merge-in-between-linked-lists,Merge In Between Linked Lists,Medium,83.0%,37.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.6%,50.0%
1962,https://leetcode.com/problems/remove-stones-to-minimize-the-total,Remove Stones to Minimize the Total,Medium,65.7%,50.0%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.2%,50.0%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,44.5%,62.5%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,60.0%,50.0%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,60.4%,37.5%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.9%,50.0%
18,https://leetcode.com/problems/4sum,4Sum,Medium,40.6%,62.5%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.9%,50.0%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,35.0%,37.5%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,56.0%,62.5%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,63.1%,37.5%
231,https://leetcode.com/problems/power-of-two,Power of Two,Easy,50.1%,50.0%
2342,https://leetcode.com/problems/max-sum-of-a-pair-with-equal-sum-of-digits,Max Sum of a Pair With Equal Sum of Digits,Medium,65.9%,62.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.3%,50.0%
61,https://leetcode.com/problems/rotate-list,Rotate List,Medium,42.6%,62.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.1%,50.0%
82,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii,Remove Duplicates from Sorted List II,Medium,51.8%,37.5%
