ID,URL,Title,Difficulty,Acceptance %,Frequency %
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.4%,100.0%
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,75.1%,100.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,75.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.9%,87.5%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.5%,100.0%
3820,https://leetcode.com/problems/pythagorean-distance-nodes-in-a-tree,Pythagorean Distance Nodes in a Tree,Medium,58.0%,75.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.4%,75.0%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,47.9%,75.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.3%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,75.0%
