ID,URL,Title,Difficulty,Acceptance %,Frequency %
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.7%,100.0%
465,https://leetcode.com/problems/optimal-account-balancing,Optimal Account Balancing,Hard,50.5%,87.5%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.4%,87.5%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.7%,75.0%
282,https://leetcode.com/problems/expression-add-operators,Expression Add Operators,Hard,43.4%,75.0%
1055,https://leetcode.com/problems/shortest-way-to-form-string,Shortest Way to Form String,Medium,61.7%,87.5%
1110,https://leetcode.com/problems/delete-nodes-and-return-forest,Delete Nodes And Return Forest,Medium,72.5%,75.0%
1244,https://leetcode.com/problems/design-a-leaderboard,Design A Leaderboard,Medium,68.1%,87.5%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,60.9%,75.0%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,44.4%,62.5%
642,https://leetcode.com/problems/design-search-autocomplete-system,Design Search Autocomplete System,Hard,50.0%,62.5%
1580,https://leetcode.com/problems/put-boxes-into-the-warehouse-ii,Put Boxes Into the Warehouse II,Medium,66.3%,62.5%
1564,https://leetcode.com/problems/put-boxes-into-the-warehouse-i,Put Boxes Into the Warehouse I,Medium,67.7%,62.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,59.0%,62.5%
445,https://leetcode.com/problems/add-two-numbers-ii,Add Two Numbers II,Medium,62.8%,62.5%
