ID,URL,Title,Difficulty,Acceptance %,Frequency %
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,56.3%,100.0%
849,https://leetcode.com/problems/maximize-distance-to-closest-person,Maximize Distance to Closest Person,Medium,49.0%,75.0%
621,https://leetcode.com/problems/task-scheduler,Task Scheduler,Medium,61.7%,87.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,54.2%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,42.4%,75.0%
2672,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Number of Adjacent Elements With the Same Color,Medium,56.1%,62.5%
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,79.1%,75.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,65.3%,62.5%
208,https://leetcode.com/problems/implement-trie-prefix-tree,Implement Trie (Prefix Tree),Medium,68.1%,62.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,53.6%,62.5%
723,https://leetcode.com/problems/candy-crush,Candy Crush,Medium,77.3%,62.5%
