ID,URL,Title,Difficulty,Acceptance %,Frequency %
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.5%,75.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.4%,50.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,100.0%
2097,https://leetcode.com/problems/valid-arrangement-of-pairs,Valid Arrangement of Pairs,Hard,66.6%,50.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.4%,100.0%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.5%,87.5%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,46.9%,87.5%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.7%,75.0%
1293,https://leetcode.com/problems/shortest-path-in-a-grid-with-obstacles-elimination,Shortest Path in a Grid with Obstacles Elimination,Hard,46.3%,62.5%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.6%,87.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.4%,75.0%
721,https://leetcode.com/problems/accounts-merge,Accounts Merge,Medium,61.3%,50.0%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,55.6%,75.0%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,37.2%,50.0%
270,https://leetcode.com/problems/closest-binary-search-tree-value,Closest Binary Search Tree Value,Easy,49.2%,50.0%
527,https://leetcode.com/problems/word-abbreviation,Word Abbreviation,Hard,62.7%,50.0%
402,https://leetcode.com/problems/remove-k-digits,Remove K Digits,Medium,36.9%,50.0%
403,https://leetcode.com/problems/frog-jump,Frog Jump,Hard,47.3%,50.0%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,56.4%,50.0%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.2%,50.0%
161,https://leetcode.com/problems/one-edit-distance,One Edit Distance,Medium,34.6%,50.0%
289,https://leetcode.com/problems/game-of-life,Game of Life,Medium,72.6%,50.0%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.5%,50.0%
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,65.5%,50.0%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.5%,62.5%
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,59.5%,50.0%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,32.0%,50.0%
439,https://leetcode.com/problems/ternary-expression-parser,Ternary Expression Parser,Medium,62.6%,50.0%
312,https://leetcode.com/problems/burst-balloons,Burst Balloons,Hard,63.5%,50.0%
314,https://leetcode.com/problems/binary-tree-vertical-order-traversal,Binary Tree Vertical Order Traversal,Medium,57.8%,50.0%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,60.0%,50.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.6%,50.0%
1754,https://leetcode.com/problems/largest-merge-of-two-strings,Largest Merge Of Two Strings,Medium,53.9%,50.0%
96,https://leetcode.com/problems/unique-binary-search-trees,Unique Binary Search Trees,Medium,63.7%,50.0%
964,https://leetcode.com/problems/least-operators-to-express-number,Least Operators to Express Number,Hard,48.5%,50.0%
377,https://leetcode.com/problems/combination-sum-iv,Combination Sum IV,Medium,55.1%,50.0%
635,https://leetcode.com/problems/design-log-storage-system,Design Log Storage System,Medium,59.6%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,50.0%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.6%,100.0%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,38.0%,75.0%
1091,https://leetcode.com/problems/shortest-path-in-binary-matrix,Shortest Path in Binary Matrix,Medium,51.5%,50.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,68.9%,50.0%
1146,https://leetcode.com/problems/snapshot-array,Snapshot Array,Medium,36.8%,50.0%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.3%,100.0%
3014,https://leetcode.com/problems/minimum-number-of-pushes-to-type-word-i,Minimum Number of Pushes to Type Word I,Easy,67.1%,50.0%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.3%,50.0%
694,https://leetcode.com/problems/number-of-distinct-islands,Number of Distinct Islands,Medium,62.8%,100.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,62.5%
803,https://leetcode.com/problems/bricks-falling-when-hit,Bricks Falling When Hit,Hard,37.2%,87.5%
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,65.3%,50.0%
490,https://leetcode.com/problems/the-maze,The Maze,Medium,60.4%,50.0%
296,https://leetcode.com/problems/best-meeting-point,Best Meeting Point,Hard,61.4%,75.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,66.1%,50.0%
856,https://leetcode.com/problems/score-of-parentheses,Score of Parentheses,Medium,63.6%,50.0%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,58.1%,50.0%
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,53.7%,75.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.9%,50.0%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.5%,62.5%
973,https://leetcode.com/problems/k-closest-points-to-origin,K Closest Points to Origin,Medium,69.0%,50.0%
1639,https://leetcode.com/problems/number-of-ways-to-form-a-target-string-given-a-dictionary,Number of Ways to Form a Target String Given a Dictionary,Hard,56.5%,50.0%
211,https://leetcode.com/problems/design-add-and-search-words-data-structure,Design Add and Search Words Data Structure,Medium,48.5%,50.0%
393,https://leetcode.com/problems/utf-8-validation,UTF-8 Validation,Medium,46.3%,50.0%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,64.2%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,50.0%
224,https://leetcode.com/problems/basic-calculator,Basic Calculator,Hard,46.9%,62.5%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.2%,62.5%
780,https://leetcode.com/problems/reaching-points,Reaching Points,Hard,34.4%,62.5%
787,https://leetcode.com/problems/cheapest-flights-within-k-stops,Cheapest Flights Within K Stops,Medium,41.8%,50.0%
528,https://leetcode.com/problems/random-pick-with-weight,Random Pick with Weight,Medium,49.1%,50.0%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.2%,50.0%
1249,https://leetcode.com/problems/minimum-remove-to-make-valid-parentheses,Minimum Remove to Make Valid Parentheses,Medium,71.5%,50.0%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.2%,50.0%
1074,https://leetcode.com/problems/number-of-submatrices-that-sum-to-target,Number of Submatrices That Sum to Target,Hard,74.6%,50.0%
2316,https://leetcode.com/problems/count-unreachable-pairs-of-nodes-in-an-undirected-graph,Count Unreachable Pairs of Nodes in an Undirected Graph,Medium,50.0%,62.5%
231,https://leetcode.com/problems/power-of-two,Power of Two,Easy,50.1%,50.0%
1472,https://leetcode.com/problems/design-browser-history,Design Browser History,Medium,78.3%,50.0%
