ID,URL,Title,Difficulty,Acceptance %,Frequency %
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,71.7%,100.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,61.9%,87.5%
694,https://leetcode.com/problems/number-of-distinct-islands,Number of Distinct Islands,Medium,62.6%,100.0%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.4%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.3%,87.5%
1472,https://leetcode.com/problems/design-browser-history,Design Browser History,Medium,78.0%,87.5%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,58.7%,100.0%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.9%,100.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.2%,87.5%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,47.8%,100.0%
310,https://leetcode.com/problems/minimum-height-trees,Minimum Height Trees,Medium,42.3%,87.5%
438,https://leetcode.com/problems/find-all-anagrams-in-a-string,Find All Anagrams in a String,Medium,52.9%,87.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.2%,87.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,87.5%
622,https://leetcode.com/problems/design-circular-queue,Design Circular Queue,Medium,53.4%,87.5%
