ID,URL,Title,Difficulty,Acceptance %,Frequency %
2846,https://leetcode.com/problems/minimum-edge-weight-equilibrium-queries-in-a-tree,Minimum Edge Weight Equilibrium Queries in a Tree,Hard,44.7%,87.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.0%,50.0%
547,https://leetcode.com/problems/number-of-provinces,Number of Provinces,Medium,69.6%,50.0%
2518,https://leetcode.com/problems/number-of-great-partitions,Number of Great Partitions,Hard,33.0%,87.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.2%,50.0%
2546,https://leetcode.com/problems/apply-bitwise-operations-to-make-strings-equal,Apply Bitwise Operations to Make Strings Equal,Medium,42.3%,87.5%
2897,https://leetcode.com/problems/apply-operations-on-array-to-maximize-sum-of-squares,Apply Operations on Array to Maximize Sum of Squares,Hard,43.9%,87.5%
2048,https://leetcode.com/problems/next-greater-numerically-balanced-number,Next Greater Numerically Balanced Number,Medium,63.0%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.3%,50.0%
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,29.8%,62.5%
2999,https://leetcode.com/problems/count-the-number-of-powerful-integers,Count the Number of Powerful Integers,Hard,46.4%,87.5%
2955,https://leetcode.com/problems/number-of-same-end-substrings,Number of Same-End Substrings,Medium,61.5%,87.5%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,46.4%,50.0%
3031,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-ii,Minimum Time to Revert Word to Initial State II,Hard,34.8%,87.5%
3029,https://leetcode.com/problems/minimum-time-to-revert-word-to-initial-state-i,Minimum Time to Revert Word to Initial State I,Medium,41.9%,87.5%
763,https://leetcode.com/problems/partition-labels,Partition Labels,Medium,81.7%,50.0%
2751,https://leetcode.com/problems/robot-collisions,Robot Collisions,Hard,56.1%,50.0%
1755,https://leetcode.com/problems/closest-subsequence-sum,Closest Subsequence Sum,Hard,42.6%,87.5%
1746,https://leetcode.com/problems/maximum-subarray-sum-after-one-operation,Maximum Subarray Sum After One Operation,Medium,65.2%,87.5%
1799,https://leetcode.com/problems/maximize-score-after-n-operations,Maximize Score After N Operations,Hard,58.0%,87.5%
2378,https://leetcode.com/problems/choose-edges-to-maximize-score-in-a-tree,Choose Edges to Maximize Score in a Tree,Medium,56.2%,87.5%
2440,https://leetcode.com/problems/create-components-with-same-value,Create Components With Same Value,Hard,52.9%,100.0%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,59.9%,62.5%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,41.9%,50.0%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,68.6%,50.0%
3414,https://leetcode.com/problems/maximum-score-of-non-overlapping-intervals,Maximum Score of Non-overlapping Intervals,Hard,30.6%,87.5%
907,https://leetcode.com/problems/sum-of-subarray-minimums,Sum of Subarray Minimums,Medium,38.1%,75.0%
975,https://leetcode.com/problems/odd-even-jump,Odd Even Jump,Hard,41.0%,62.5%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,30.0%,50.0%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,47.6%,75.0%
552,https://leetcode.com/problems/student-attendance-record-ii,Student Attendance Record II,Hard,56.2%,50.0%
1129,https://leetcode.com/problems/shortest-path-with-alternating-colors,Shortest Path with Alternating Colors,Medium,47.5%,50.0%
1463,https://leetcode.com/problems/cherry-pickup-ii,Cherry Pickup II,Hard,72.2%,62.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,46.3%,62.5%
687,https://leetcode.com/problems/longest-univalue-path,Longest Univalue Path,Medium,43.2%,50.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.0%,50.0%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,37.2%,50.0%
918,https://leetcode.com/problems/maximum-sum-circular-subarray,Maximum Sum Circular Subarray,Medium,48.7%,50.0%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,55.3%,50.0%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,37.4%,50.0%
546,https://leetcode.com/problems/remove-boxes,Remove Boxes,Hard,49.0%,50.0%
403,https://leetcode.com/problems/frog-jump,Frog Jump,Hard,46.9%,50.0%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,53.9%,50.0%
456,https://leetcode.com/problems/132-pattern,132 Pattern,Medium,34.4%,50.0%
