ID,URL,Title,Difficulty,Acceptance %,Frequency %
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.2%,75.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.5%,62.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,68.6%,87.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,53.9%,87.5%
90,https://leetcode.com/problems/subsets-ii,Subsets II,Medium,60.4%,62.5%
2943,https://leetcode.com/problems/maximize-area-of-square-hole-in-grid,Maximize Area of Square Hole in Grid,Medium,37.6%,100.0%
1235,https://leetcode.com/problems/maximum-profit-in-job-scheduling,Maximum Profit in Job Scheduling,Hard,54.5%,75.0%
1413,https://leetcode.com/problems/minimum-value-to-get-positive-step-by-step-sum,Minimum Value to Get Positive Step by Step Sum,Easy,64.5%,100.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,62.5%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,41.9%,62.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,46.3%,62.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,45.2%,62.5%
496,https://leetcode.com/problems/next-greater-element-i,Next Greater Element I,Easy,75.3%,87.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,69.8%,75.0%
1711,https://leetcode.com/problems/count-good-meals,Count Good Meals,Medium,32.2%,87.5%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,67.9%,75.0%
1174,https://leetcode.com/problems/immediate-food-delivery-ii,Immediate Food Delivery II,Medium,55.3%,62.5%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,64.9%,62.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,58.8%,75.0%
888,https://leetcode.com/problems/fair-candy-swap,Fair Candy Swap,Easy,64.1%,75.0%
1717,https://leetcode.com/problems/maximum-score-from-removing-substrings,Maximum Score From Removing Substrings,Medium,66.5%,62.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,50.3%,75.0%
973,https://leetcode.com/problems/k-closest-points-to-origin,K Closest Points to Origin,Medium,68.5%,62.5%
1986,https://leetcode.com/problems/minimum-number-of-work-sessions-to-finish-the-tasks,Minimum Number of Work Sessions to Finish the Tasks,Medium,34.2%,62.5%
1029,https://leetcode.com/problems/two-city-scheduling,Two City Scheduling,Medium,68.1%,62.5%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,59.7%,62.5%
523,https://leetcode.com/problems/continuous-subarray-sum,Continuous Subarray Sum,Medium,31.1%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.2%,62.5%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,46.4%,62.5%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,35.6%,75.0%
371,https://leetcode.com/problems/sum-of-two-integers,Sum of Two Integers,Medium,54.6%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.3%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,52.7%,62.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,56.6%,62.5%
