ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.5%,87.5%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.5%,50.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,62.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.8%,75.0%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.9%,50.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.6%,75.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.0%,50.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.6%,50.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.6%,62.5%
18,https://leetcode.com/problems/4sum,4Sum,Medium,40.6%,37.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.1%,62.5%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.3%,37.5%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.7%,37.5%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,62.8%,50.0%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.7%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.2%,62.5%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.3%,37.5%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.9%,50.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.4%,50.0%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.7%,50.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.3%,75.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.8%,50.0%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.9%,50.0%
58,https://leetcode.com/problems/length-of-last-word,Length of Last Word,Easy,58.8%,37.5%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.8%,50.0%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,50.0%,50.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.1%,50.0%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,62.9%,37.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.6%,62.5%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,41.8%,37.5%
78,https://leetcode.com/problems/subsets,Subsets,Medium,82.3%,37.5%
80,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,Medium,64.7%,25.0%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.9%,25.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.9%,50.0%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,78.9%,50.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.8%,62.5%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.1%,37.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,37.5%
136,https://leetcode.com/problems/single-number,Single Number,Easy,77.7%,62.5%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,56.4%,37.5%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.4%,50.0%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.3%,62.5%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,47.0%,62.5%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,43.1%,37.5%
185,https://leetcode.com/problems/department-top-three-salaries,Department Top Three Salaries,Hard,60.5%,37.5%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.9%,50.0%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.7%,37.5%
204,https://leetcode.com/problems/count-primes,Count Primes,Medium,36.1%,37.5%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.6%,25.0%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.4%,50.0%
231,https://leetcode.com/problems/power-of-two,Power of Two,Easy,50.1%,25.0%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,48.8%,37.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.1%,62.5%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,72.0%,50.0%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.8%,75.0%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,58.1%,50.0%
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,80.8%,50.0%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.8%,25.0%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.5%,37.5%
412,https://leetcode.com/problems/fizz-buzz,Fizz Buzz,Easy,75.5%,37.5%
2423,https://leetcode.com/problems/remove-letter-to-equalize-frequency,Remove Letter To Equalize Frequency,Easy,19.4%,62.5%
2481,https://leetcode.com/problems/minimum-cuts-to-divide-a-circle,Minimum Cuts to Divide a Circle,Easy,56.2%,50.0%
532,https://leetcode.com/problems/k-diff-pairs-in-an-array,K-diff Pairs in an Array,Medium,45.9%,37.5%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.3%,37.5%
2520,https://leetcode.com/problems/count-the-digits-that-divide-a-number,Count the Digits That Divide a Number,Easy,85.9%,62.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.3%,62.5%
577,https://leetcode.com/problems/employee-bonus,Employee Bonus,Easy,77.4%,25.0%
584,https://leetcode.com/problems/find-customer-referee,Find Customer Referee,Easy,72.9%,37.5%
595,https://leetcode.com/problems/big-countries,Big Countries,Easy,68.5%,25.0%
766,https://leetcode.com/problems/toeplitz-matrix,Toeplitz Matrix,Easy,69.7%,50.0%
704,https://leetcode.com/problems/binary-search,Binary Search,Easy,60.9%,25.0%
852,https://leetcode.com/problems/peak-index-in-a-mountain-array,Peak Index in a Mountain Array,Medium,66.8%,25.0%
898,https://leetcode.com/problems/bitwise-ors-of-subarrays,Bitwise ORs of Subarrays,Medium,56.9%,50.0%
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,74.1%,50.0%
1148,https://leetcode.com/problems/article-views-i,Article Views I,Easy,76.6%,37.5%
3065,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-i,Minimum Operations to Exceed Threshold Value I,Easy,86.8%,50.0%
3066,https://leetcode.com/problems/minimum-operations-to-exceed-threshold-value-ii,Minimum Operations to Exceed Threshold Value II,Medium,45.8%,50.0%
1636,https://leetcode.com/problems/sort-array-by-increasing-frequency,Sort Array by Increasing Frequency,Easy,80.8%,25.0%
1745,https://leetcode.com/problems/palindrome-partitioning-iv,Palindrome Partitioning IV,Hard,45.5%,50.0%
1752,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Check if Array Is Sorted and Rotated,Easy,57.3%,50.0%
1800,https://leetcode.com/problems/maximum-ascending-subarray-sum,Maximum Ascending Subarray Sum,Easy,66.3%,62.5%
912,https://leetcode.com/problems/sort-an-array,Sort an Array,Medium,55.9%,37.5%
3190,https://leetcode.com/problems/find-minimum-operations-to-make-all-elements-divisible-by-three,Find Minimum Operations to Make All Elements Divisible by Three,Easy,90.8%,25.0%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.3%,50.0%
63,https://leetcode.com/problems/unique-paths-ii,Unique Paths II,Medium,44.5%,25.0%
1492,https://leetcode.com/problems/the-kth-factor-of-n,The kth Factor of n,Medium,70.4%,25.0%
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,65.5%,37.5%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,35.0%,25.0%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,64.3%,37.5%
35,https://leetcode.com/problems/search-insert-position,Search Insert Position,Easy,51.3%,37.5%
196,https://leetcode.com/problems/delete-duplicate-emails,Delete Duplicate Emails,Easy,66.0%,25.0%
1757,https://leetcode.com/problems/recyclable-and-low-fat-products,Recyclable and Low Fat Products,Easy,88.6%,37.5%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,58.8%,37.5%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,47.0%,25.0%
485,https://leetcode.com/problems/max-consecutive-ones,Max Consecutive Ones,Easy,65.2%,37.5%
416,https://leetcode.com/problems/partition-equal-subset-sum,Partition Equal Subset Sum,Medium,49.5%,37.5%
1025,https://leetcode.com/problems/divisor-game,Divisor Game,Easy,71.9%,25.0%
2993,https://leetcode.com/problems/friday-purchases-i,Friday Purchases I,Medium,81.1%,100.0%
1075,https://leetcode.com/problems/project-employees-i,Project Employees I,Easy,66.8%,37.5%
805,https://leetcode.com/problems/split-array-with-same-average,Split Array With Same Average,Hard,27.0%,37.5%
2006,https://leetcode.com/problems/count-number-of-pairs-with-absolute-difference-k,Count Number of Pairs With Absolute Difference K,Easy,85.4%,37.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,37.5%
1512,https://leetcode.com/problems/number-of-good-pairs,Number of Good Pairs,Easy,89.8%,37.5%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,75.5%,50.0%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,42.9%,37.5%
670,https://leetcode.com/problems/maximum-swap,Maximum Swap,Medium,52.0%,25.0%
229,https://leetcode.com/problems/majority-element-ii,Majority Element II,Medium,56.2%,25.0%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,51.3%,50.0%
3163,https://leetcode.com/problems/string-compression-iii,String Compression III,Medium,67.1%,25.0%
1455,https://leetcode.com/problems/check-if-a-word-occurs-as-a-prefix-of-any-word-in-a-sentence,Check If a Word Occurs As a Prefix of Any Word in a Sentence,Easy,68.8%,25.0%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.3%,37.5%
2461,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,Maximum Sum of Distinct Subarrays With Length K,Medium,43.0%,25.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.6%,37.5%
141,https://leetcode.com/problems/linked-list-cycle,Linked List Cycle,Easy,54.3%,37.5%
374,https://leetcode.com/problems/guess-number-higher-or-lower,Guess Number Higher or Lower,Easy,57.6%,25.0%
1480,https://leetcode.com/problems/running-sum-of-1d-array,Running Sum of 1d Array,Easy,86.9%,25.0%
3417,https://leetcode.com/problems/zigzag-grid-traversal-with-skip,Zigzag Grid Traversal With Skip,Easy,65.3%,50.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.6%,50.0%
1368,https://leetcode.com/problems/minimum-cost-to-make-at-least-one-valid-path-in-a-grid,Minimum Cost to Make at Least One Valid Path in a Grid,Hard,71.0%,25.0%
1378,https://leetcode.com/problems/replace-employee-id-with-the-unique-identifier,Replace Employee ID With The Unique Identifier,Easy,83.5%,25.0%
19,https://leetcode.com/problems/remove-nth-node-from-end-of-list,Remove Nth Node From End of List,Medium,51.6%,37.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.2%,37.5%
956,https://leetcode.com/problems/tallest-billboard,Tallest Billboard,Hard,51.9%,37.5%
263,https://leetcode.com/problems/ugly-number,Ugly Number,Easy,43.5%,37.5%
628,https://leetcode.com/problems/maximum-product-of-three-numbers,Maximum Product of Three Numbers,Easy,45.9%,37.5%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,48.9%,25.0%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,58.2%,37.5%
1497,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,Check If Array Pairs Are Divisible by k,Medium,46.2%,25.0%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,50.0%,37.5%
876,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,Easy,81.8%,37.5%
182,https://leetcode.com/problems/duplicate-emails,Duplicate Emails,Easy,73.8%,37.5%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,80.1%,25.0%
1125,https://leetcode.com/problems/smallest-sufficient-team,Smallest Sufficient Team,Hard,55.6%,37.5%
658,https://leetcode.com/problems/find-k-closest-elements,Find K Closest Elements,Medium,49.7%,25.0%
462,https://leetcode.com/problems/minimum-moves-to-equal-array-elements-ii,Minimum Moves to Equal Array Elements II,Medium,61.9%,37.5%
442,https://leetcode.com/problems/find-all-duplicates-in-an-array,Find All Duplicates in an Array,Medium,76.9%,25.0%
297,https://leetcode.com/problems/serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,Hard,60.8%,37.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,37.5%
2563,https://leetcode.com/problems/count-the-number-of-fair-pairs,Count the Number of Fair Pairs,Medium,52.7%,25.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,50.0%
2703,https://leetcode.com/problems/return-length-of-arguments-passed,Return Length of Arguments Passed,Easy,94.5%,25.0%
643,https://leetcode.com/problems/maximum-average-subarray-i,Maximum Average Subarray I,Easy,47.8%,37.5%
2095,https://leetcode.com/problems/delete-the-middle-node-of-a-linked-list,Delete the Middle Node of a Linked List,Medium,59.6%,37.5%
1910,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,Remove All Occurrences of a Substring,Medium,78.5%,25.0%
414,https://leetcode.com/problems/third-maximum-number,Third Maximum Number,Easy,39.4%,37.5%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.9%,37.5%
2099,https://leetcode.com/problems/find-subsequence-of-length-k-with-the-largest-sum,Find Subsequence of Length K With the Largest Sum,Easy,57.4%,37.5%
459,https://leetcode.com/problems/repeated-substring-pattern,Repeated Substring Pattern,Easy,48.2%,25.0%
3330,https://leetcode.com/problems/find-the-original-typed-string-i,Find the Original Typed String I,Easy,72.0%,25.0%
164,https://leetcode.com/problems/maximum-gap,Maximum Gap,Medium,52.1%,25.0%
1751,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended-ii,Maximum Number of Events That Can Be Attended II,Hard,63.5%,25.0%
328,https://leetcode.com/problems/odd-even-linked-list,Odd Even Linked List,Medium,62.5%,25.0%
109,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,Convert Sorted List to Binary Search Tree,Medium,66.6%,25.0%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,54.3%,25.0%
81,https://leetcode.com/problems/search-in-rotated-sorted-array-ii,Search in Rotated Sorted Array II,Medium,40.1%,37.5%
3136,https://leetcode.com/problems/valid-word,Valid Word,Easy,50.9%,25.0%
1068,https://leetcode.com/problems/product-sales-analysis-i,Product Sales Analysis I,Easy,85.8%,37.5%
1614,https://leetcode.com/problems/maximum-nesting-depth-of-the-parentheses,Maximum Nesting Depth of the Parentheses,Easy,84.9%,25.0%
312,https://leetcode.com/problems/burst-balloons,Burst Balloons,Hard,63.5%,50.0%
90,https://leetcode.com/problems/subsets-ii,Subsets II,Medium,61.3%,37.5%
1493,https://leetcode.com/problems/longest-subarray-of-1s-after-deleting-one-element,Longest Subarray of 1's After Deleting One Element,Medium,71.2%,37.5%
142,https://leetcode.com/problems/linked-list-cycle-ii,Linked List Cycle II,Medium,57.9%,25.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.9%,50.0%
1518,https://leetcode.com/problems/water-bottles,Water Bottles,Easy,72.6%,37.5%
495,https://leetcode.com/problems/teemo-attacking,Teemo Attacking,Easy,57.7%,25.0%
