ID,URL,Title,Difficulty,Acceptance %,Frequency %
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,64.1%,62.5%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.8%,100.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.9%,62.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.3%,62.5%
766,https://leetcode.com/problems/toeplitz-matrix,Toeplitz Matrix,Easy,69.7%,87.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.5%,87.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,57.2%,62.5%
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,55.0%,62.5%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.8%,87.5%
1295,https://leetcode.com/problems/find-numbers-with-even-number-of-digits,Find Numbers with Even Number of Digits,Easy,79.9%,62.5%
344,https://leetcode.com/problems/reverse-string,Reverse String,Easy,81.0%,62.5%
3689,https://leetcode.com/problems/maximum-total-subarray-value-i,Maximum Total Subarray Value I,Medium,71.9%,62.5%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.7%,75.0%
111,https://leetcode.com/problems/minimum-depth-of-binary-tree,Minimum Depth of Binary Tree,Easy,53.3%,62.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.4%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.4%,100.0%
234,https://leetcode.com/problems/palindrome-linked-list,Palindrome Linked List,Easy,58.3%,62.5%
104,https://leetcode.com/problems/maximum-depth-of-binary-tree,Maximum Depth of Binary Tree,Easy,78.4%,62.5%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,45.2%,75.0%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,51.5%,75.0%
1833,https://leetcode.com/problems/maximum-ice-cream-bars,Maximum Ice Cream Bars,Medium,77.2%,62.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,47.0%,62.5%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,49.3%,62.5%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.3%,62.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,38.2%,62.5%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,47.5%,62.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.4%,62.5%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,50.3%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.7%,62.5%
509,https://leetcode.com/problems/fibonacci-number,Fibonacci Number,Easy,74.3%,87.5%
692,https://leetcode.com/problems/top-k-frequent-words,Top K Frequent Words,Medium,60.4%,62.5%
643,https://leetcode.com/problems/maximum-average-subarray-i,Maximum Average Subarray I,Easy,48.4%,62.5%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,65.4%,62.5%
35,https://leetcode.com/problems/search-insert-position,Search Insert Position,Easy,51.7%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.5%,62.5%
1480,https://leetcode.com/problems/running-sum-of-1d-array,Running Sum of 1d Array,Easy,87.0%,62.5%
180,https://leetcode.com/problems/consecutive-numbers,Consecutive Numbers,Medium,48.8%,62.5%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,49.2%,62.5%
1331,https://leetcode.com/problems/rank-transform-of-an-array,Rank Transform of an Array,Easy,72.6%,62.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,71.2%,87.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,70.0%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,62.5%
