ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.5%,62.5%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.5%,25.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,87.5%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,46.6%,25.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.8%,75.0%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,31.0%,50.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.0%,50.0%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,71.0%,37.5%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.6%,50.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.1%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.2%,62.5%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.3%,37.5%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.7%,62.5%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,59.6%,75.0%
24,https://leetcode.com/problems/swap-nodes-in-pairs,Swap Nodes in Pairs,Medium,69.5%,37.5%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,66.1%,50.0%
31,https://leetcode.com/problems/next-permutation,Next Permutation,Medium,45.3%,50.0%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.8%,50.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.9%,75.0%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,48.9%,50.0%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.5%,25.0%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.5%,62.5%
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,59.5%,37.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.4%,87.5%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,44.2%,50.0%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,42.9%,50.0%
46,https://leetcode.com/problems/permutations,Permutations,Medium,81.9%,50.0%
47,https://leetcode.com/problems/permutations-ii,Permutations II,Medium,63.5%,50.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.6%,62.5%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.7%,25.0%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,75.5%,75.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.3%,50.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.8%,75.0%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,40.9%,50.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,87.5%
59,https://leetcode.com/problems/spiral-matrix-ii,Spiral Matrix II,Medium,75.1%,25.0%
57,https://leetcode.com/problems/insert-interval,Insert Interval,Medium,45.2%,37.5%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,66.8%,25.0%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.2%,37.5%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,50.0%,25.0%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,51.2%,75.0%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,41.8%,75.0%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.1%,62.5%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,50.6%,62.5%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.6%,62.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.6%,62.5%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.5%,75.0%
78,https://leetcode.com/problems/subsets,Subsets,Medium,82.3%,50.0%
80,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii,Remove Duplicates from Sorted Array II,Medium,64.7%,37.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.4%,75.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,54.9%,25.0%
92,https://leetcode.com/problems/reverse-linked-list-ii,Reverse Linked List II,Medium,51.5%,37.5%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,56.0%,62.5%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,38.0%,37.5%
96,https://leetcode.com/problems/unique-binary-search-trees,Unique Binary Search Trees,Medium,63.7%,25.0%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,63.7%,37.5%
105,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,Construct Binary Tree from Preorder and Inorder Traversal,Medium,68.8%,62.5%
112,https://leetcode.com/problems/path-sum,Path Sum,Easy,54.9%,25.0%
113,https://leetcode.com/problems/path-sum-ii,Path Sum II,Medium,62.2%,37.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.8%,75.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.1%,50.0%
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,53.7%,37.5%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.3%,62.5%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.3%,37.5%
126,https://leetcode.com/problems/word-ladder-ii,Word Ladder II,Hard,27.7%,25.0%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,45.6%,62.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.1%,62.5%
2050,https://leetcode.com/problems/parallel-courses-iii,Parallel Courses III,Hard,66.8%,37.5%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,55.6%,62.5%
143,https://leetcode.com/problems/reorder-list,Reorder List,Medium,65.3%,62.5%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.5%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.4%,100.0%
148,https://leetcode.com/problems/sort-list,Sort List,Medium,64.4%,37.5%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,56.4%,37.5%
152,https://leetcode.com/problems/maximum-product-subarray,Maximum Product Subarray,Medium,36.4%,37.5%
153,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array,Find Minimum in Rotated Sorted Array,Medium,54.7%,50.0%
159,https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters,Longest Substring with At Most Two Distinct Characters,Medium,57.1%,37.5%
160,https://leetcode.com/problems/intersection-of-two-linked-lists,Intersection of Two Linked Lists,Easy,63.7%,37.5%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,47.0%,62.5%
165,https://leetcode.com/problems/compare-version-numbers,Compare Version Numbers,Medium,46.4%,50.0%
2096,https://leetcode.com/problems/step-by-step-directions-from-a-binary-tree-node-to-another,Step-By-Step Directions From a Binary Tree Node to Another,Medium,56.4%,37.5%
2115,https://leetcode.com/problems/find-all-possible-recipes-from-given-supplies,Find All Possible Recipes from Given Supplies,Medium,56.9%,37.5%
2104,https://leetcode.com/problems/sum-of-subarray-ranges,Sum of Subarray Ranges,Medium,61.1%,25.0%
