ID,URL,Title,Difficulty,Acceptance %,Frequency %
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.7%,75.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.7%,75.0%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.6%,62.5%
230,https://leetcode.com/problems/kth-smallest-element-in-a-bst,Kth Smallest Element in a BST,Medium,77.0%,75.0%
305,https://leetcode.com/problems/number-of-islands-ii,Number of Islands II,Hard,40.7%,100.0%
399,https://leetcode.com/problems/evaluate-division,Evaluate Division,Medium,64.4%,50.0%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,57.8%,87.5%
564,https://leetcode.com/problems/find-the-closest-palindrome,Find the Closest Palindrome,Hard,32.0%,62.5%
427,https://leetcode.com/problems/construct-quad-tree,Construct Quad Tree,Medium,78.5%,87.5%
815,https://leetcode.com/problems/bus-routes,Bus Routes,Hard,47.4%,87.5%
934,https://leetcode.com/problems/shortest-bridge,Shortest Bridge,Medium,59.6%,50.0%
362,https://leetcode.com/problems/design-hit-counter,Design Hit Counter,Medium,69.7%,75.0%
380,https://leetcode.com/problems/insert-delete-getrandom-o1,Insert Delete GetRandom O(1),Medium,55.4%,62.5%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.6%,62.5%
977,https://leetcode.com/problems/squares-of-a-sorted-array,Squares of a Sorted Array,Easy,73.9%,87.5%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,37.3%,87.5%
1429,https://leetcode.com/problems/first-unique-number,First Unique Number,Medium,57.8%,100.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,52.3%,50.0%
253,https://leetcode.com/problems/meeting-rooms-ii,Meeting Rooms II,Medium,52.7%,50.0%
2402,https://leetcode.com/problems/meeting-rooms-iii,Meeting Rooms III,Hard,51.4%,50.0%
2858,https://leetcode.com/problems/minimum-edge-reversals-so-every-node-is-reachable,Minimum Edge Reversals So Every Node Is Reachable,Hard,60.0%,100.0%
410,https://leetcode.com/problems/split-array-largest-sum,Split Array Largest Sum,Hard,60.9%,62.5%
1475,https://leetcode.com/problems/final-prices-with-a-special-discount-in-a-shop,Final Prices With a Special Discount in a Shop,Easy,84.2%,87.5%
2571,https://leetcode.com/problems/minimum-operations-to-reduce-an-integer-to-0,Minimum Operations to Reduce an Integer to 0,Medium,62.8%,75.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,59.0%,50.0%
2791,https://leetcode.com/problems/count-paths-that-can-form-a-palindrome-in-a-tree,Count Paths That Can Form a Palindrome in a Tree,Hard,52.7%,100.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.8%,50.0%
1101,https://leetcode.com/problems/the-earliest-moment-when-everyone-become-friends,The Earliest Moment When Everyone Become Friends,Medium,66.1%,87.5%
1428,https://leetcode.com/problems/leftmost-column-with-at-least-a-one,Leftmost Column with at Least a One,Medium,55.3%,75.0%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.9%,62.5%
2092,https://leetcode.com/problems/find-all-people-with-secret,Find All People With Secret,Hard,48.4%,50.0%
2561,https://leetcode.com/problems/rearranging-fruits,Rearranging Fruits,Hard,57.3%,50.0%
502,https://leetcode.com/problems/ipo,IPO,Hard,53.6%,50.0%
2503,https://leetcode.com/problems/maximum-number-of-points-from-grid-queries,Maximum Number of Points From Grid Queries,Hard,59.2%,50.0%
981,https://leetcode.com/problems/time-based-key-value-store,Time Based Key-Value Store,Medium,50.0%,62.5%
545,https://leetcode.com/problems/boundary-of-binary-tree,Boundary of Binary Tree,Medium,48.2%,50.0%
3629,https://leetcode.com/problems/minimum-jumps-to-reach-end-via-prime-teleportation,Minimum Jumps to Reach End via Prime Teleportation,Medium,44.6%,50.0%
864,https://leetcode.com/problems/shortest-path-to-get-all-keys,Shortest Path to Get All Keys,Hard,54.8%,62.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.9%,50.0%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,47.1%,75.0%
679,https://leetcode.com/problems/24-game,24 Game,Hard,59.6%,50.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,38.2%,50.0%
1197,https://leetcode.com/problems/minimum-knight-moves,Minimum Knight Moves,Medium,42.0%,50.0%
855,https://leetcode.com/problems/exam-room,Exam Room,Medium,43.6%,62.5%
