ID,URL,Title,Difficulty,Acceptance %,Frequency %
1036,https://leetcode.com/problems/escape-a-large-maze,Escape a Large Maze,Hard,36.0%,100.0%
2826,https://leetcode.com/problems/sorting-three-groups,Sorting Three Groups,Medium,42.5%,100.0%
1162,https://leetcode.com/problems/as-far-from-land-as-possible,As Far from Land as Possible,Medium,52.0%,100.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.3%,75.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,36.8%,62.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,69.8%,62.5%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,55.9%,62.5%
881,https://leetcode.com/problems/boats-to-save-people,Boats to Save People,Medium,61.0%,62.5%
990,https://leetcode.com/problems/satisfiability-of-equality-equations,Satisfiability of Equality Equations,Medium,51.4%,62.5%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,58.4%,62.5%
2603,https://leetcode.com/problems/collect-coins-in-a-tree,Collect Coins in a Tree,Hard,39.0%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.0%,62.5%
312,https://leetcode.com/problems/burst-balloons,Burst Balloons,Hard,62.5%,62.5%
