ID,URL,Title,Difficulty,Acceptance %,Frequency %
2826,https://leetcode.com/problems/sorting-three-groups,Sorting Three Groups,Medium,43.2%,87.5%
1036,https://leetcode.com/problems/escape-a-large-maze,Escape a Large Maze,Hard,36.8%,100.0%
1162,https://leetcode.com/problems/as-far-from-land-as-possible,As Far from Land as Possible,Medium,52.4%,87.5%
827,https://leetcode.com/problems/making-a-large-island,Making A Large Island,Hard,56.9%,87.5%
881,https://leetcode.com/problems/boats-to-save-people,Boats to Save People,Medium,62.0%,87.5%
990,https://leetcode.com/problems/satisfiability-of-equality-equations,Satisfiability of Equality Equations,Medium,52.0%,87.5%
424,https://leetcode.com/problems/longest-repeating-character-replacement,Longest Repeating Character Replacement,Medium,60.1%,87.5%
312,https://leetcode.com/problems/burst-balloons,Burst Balloons,Hard,63.9%,87.5%
2603,https://leetcode.com/problems/collect-coins-in-a-tree,Collect Coins in a Tree,Hard,39.5%,87.5%
90,https://leetcode.com/problems/subsets-ii,Subsets II,Medium,61.6%,87.5%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,71.2%,87.5%
354,https://leetcode.com/problems/russian-doll-envelopes,Russian Doll Envelopes,Hard,38.0%,87.5%
