ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.8%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,87.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,38.2%,50.0%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.9%,62.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.4%,87.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.7%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.9%,75.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.5%,75.0%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,51.5%,100.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,57.0%,87.5%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.9%,37.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.5%,75.0%
3046,https://leetcode.com/problems/split-the-array,Split the Array,Easy,61.6%,87.5%
1389,https://leetcode.com/problems/create-target-array-in-the-given-order,Create Target Array in the Given Order,Easy,86.5%,62.5%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,39.0%,37.5%
2136,https://leetcode.com/problems/earliest-possible-day-of-full-bloom,Earliest Possible Day of Full Bloom,Hard,71.2%,37.5%
2451,https://leetcode.com/problems/odd-string-difference,Odd String Difference,Easy,62.1%,37.5%
2078,https://leetcode.com/problems/two-furthest-houses-with-different-colors,Two Furthest Houses With Different Colors,Easy,71.7%,37.5%
3078,https://leetcode.com/problems/match-alphanumerical-pattern-in-matrix-i,Match Alphanumerical Pattern in Matrix I,Medium,65.3%,37.5%
1025,https://leetcode.com/problems/divisor-game,Divisor Game,Easy,72.1%,37.5%
2049,https://leetcode.com/problems/count-nodes-with-the-highest-score,Count Nodes With the Highest Score,Medium,52.9%,37.5%
286,https://leetcode.com/problems/walls-and-gates,Walls and Gates,Medium,64.1%,62.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.8%,62.5%
2593,https://leetcode.com/problems/find-score-of-an-array-after-marking-all-elements,Find Score of an Array After Marking All Elements,Medium,64.5%,37.5%
3043,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,Find the Length of the Longest Common Prefix,Medium,62.3%,87.5%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,66.6%,37.5%
1497,https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k,Check If Array Pairs Are Divisible by k,Medium,46.2%,50.0%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,57.2%,62.5%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,56.4%,62.5%
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,65.8%,50.0%
1861,https://leetcode.com/problems/rotating-the-box,Rotating the Box,Medium,82.5%,100.0%
661,https://leetcode.com/problems/image-smoother,Image Smoother,Easy,69.4%,50.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.6%,87.5%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,49.0%,37.5%
3161,https://leetcode.com/problems/block-placement-queries,Block Placement Queries,Hard,41.4%,87.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.7%,62.5%
300,https://leetcode.com/problems/longest-increasing-subsequence,Longest Increasing Subsequence,Medium,59.7%,37.5%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,50.9%,75.0%
1438,https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,Medium,57.8%,62.5%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,45.2%,37.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.8%,37.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,52.3%,62.5%
127,https://leetcode.com/problems/word-ladder,Word Ladder,Hard,46.0%,50.0%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.9%,37.5%
539,https://leetcode.com/problems/minimum-time-difference,Minimum Time Difference,Medium,62.6%,62.5%
3459,https://leetcode.com/problems/length-of-longest-v-shaped-diagonal-segment,Length of Longest V-Shaped Diagonal Segment,Hard,56.2%,100.0%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,47.1%,37.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.4%,50.0%
110,https://leetcode.com/problems/balanced-binary-tree,Balanced Binary Tree,Easy,58.7%,50.0%
1752,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated,Check if Array Is Sorted and Rotated,Easy,57.5%,37.5%
723,https://leetcode.com/problems/candy-crush,Candy Crush,Medium,77.6%,37.5%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,65.4%,37.5%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,Minimum Operations to Write the Letter Y on a Grid,Medium,64.7%,100.0%
2672,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Number of Adjacent Elements With the Same Color,Medium,59.9%,75.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.5%,50.0%
206,https://leetcode.com/problems/reverse-linked-list,Reverse Linked List,Easy,80.8%,62.5%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,69.1%,50.0%
2768,https://leetcode.com/problems/number-of-black-blocks,Number of Black Blocks,Medium,42.0%,87.5%
1876,https://leetcode.com/problems/substrings-of-size-three-with-distinct-characters,Substrings of Size Three with Distinct Characters,Easy,76.9%,37.5%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,57.0%,37.5%
792,https://leetcode.com/problems/number-of-matching-subsequences,Number of Matching Subsequences,Medium,50.6%,50.0%
213,https://leetcode.com/problems/house-robber-ii,House Robber II,Medium,45.2%,37.5%
3034,https://leetcode.com/problems/number-of-subarrays-that-match-a-pattern-i,Number of Subarrays That Match a Pattern I,Medium,68.8%,37.5%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,39.1%,37.5%
295,https://leetcode.com/problems/find-median-from-data-stream,Find Median from Data Stream,Hard,54.7%,50.0%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.7%,37.5%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.5%,37.5%
2021,https://leetcode.com/problems/brightest-position-on-street,Brightest Position on Street,Medium,60.7%,37.5%
129,https://leetcode.com/problems/sum-root-to-leaf-numbers,Sum Root to Leaf Numbers,Medium,70.1%,37.5%
3652,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-using-strategy,Best Time to Buy and Sell Stock using Strategy,Medium,59.7%,50.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.3%,50.0%
1046,https://leetcode.com/problems/last-stone-weight,Last Stone Weight,Easy,66.6%,37.5%
451,https://leetcode.com/problems/sort-characters-by-frequency,Sort Characters By Frequency,Medium,75.5%,37.5%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,70.0%,50.0%
2817,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,Minimum Absolute Difference Between Elements With Constraint,Medium,37.9%,62.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.3%,37.5%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,50.3%,75.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,69.1%,37.5%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.9%,62.5%
680,https://leetcode.com/problems/valid-palindrome-ii,Valid Palindrome II,Easy,44.5%,37.5%
345,https://leetcode.com/problems/reverse-vowels-of-a-string,Reverse Vowels of a String,Easy,61.7%,37.5%
264,https://leetcode.com/problems/ugly-number-ii,Ugly Number II,Medium,49.7%,37.5%
3552,https://leetcode.com/problems/grid-teleportation-traversal,Grid Teleportation Traversal,Medium,23.9%,62.5%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,67.0%,37.5%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,66.4%,37.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,59.0%,37.5%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.6%,37.5%
140,https://leetcode.com/problems/word-break-ii,Word Break II,Hard,55.8%,37.5%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.7%,37.5%
1743,https://leetcode.com/problems/restore-the-array-from-adjacent-pairs,Restore the Array From Adjacent Pairs,Medium,75.1%,37.5%
1314,https://leetcode.com/problems/matrix-block-sum,Matrix Block Sum,Medium,76.7%,62.5%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,48.3%,62.5%
135,https://leetcode.com/problems/candy,Candy,Hard,48.8%,37.5%
2544,https://leetcode.com/problems/alternating-digit-sum,Alternating Digit Sum,Easy,69.2%,37.5%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,58.3%,37.5%
415,https://leetcode.com/problems/add-strings,Add Strings,Easy,52.2%,50.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.7%,50.0%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,50.4%,37.5%
123,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii,Best Time to Buy and Sell Stock III,Hard,54.2%,37.5%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,80.4%,62.5%
3433,https://leetcode.com/problems/count-mentions-per-user,Count Mentions Per User,Medium,50.8%,37.5%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,59.2%,37.5%
3019,https://leetcode.com/problems/number-of-changing-keys,Number of Changing Keys,Easy,80.8%,50.0%
258,https://leetcode.com/problems/add-digits,Add Digits,Easy,69.1%,37.5%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,50.2%,37.5%
503,https://leetcode.com/problems/next-greater-element-ii,Next Greater Element II,Medium,68.7%,37.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.7%,37.5%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,55.2%,37.5%
