ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,62.5%
68,https://leetcode.com/problems/text-justification,Text Justification,Hard,50.4%,100.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.8%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.4%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.5%,62.5%
3071,https://leetcode.com/problems/minimum-operations-to-write-the-letter-y-on-a-grid,Minimum Operations to Write the Letter Y on a Grid,Medium,64.3%,100.0%
2768,https://leetcode.com/problems/number-of-black-blocks,Number of Black Blocks,Medium,41.5%,87.5%
71,https://leetcode.com/problems/simplify-path,Simplify Path,Medium,50.0%,50.0%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.1%,62.5%
2817,https://leetcode.com/problems/minimum-absolute-difference-between-elements-with-constraint,Minimum Absolute Difference Between Elements With Constraint,Medium,37.1%,75.0%
539,https://leetcode.com/problems/minimum-time-difference,Minimum Time Difference,Medium,62.5%,50.0%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,49.3%,75.0%
264,https://leetcode.com/problems/ugly-number-ii,Ugly Number II,Medium,49.5%,50.0%
3552,https://leetcode.com/problems/grid-teleportation-traversal,Grid Teleportation Traversal,Medium,23.2%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.0%,75.0%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.2%,62.5%
1314,https://leetcode.com/problems/matrix-block-sum,Matrix Block Sum,Medium,76.4%,62.5%
3043,https://leetcode.com/problems/find-the-length-of-the-longest-common-prefix,Find the Length of the Longest Common Prefix,Medium,57.0%,87.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.1%,62.5%
2672,https://leetcode.com/problems/number-of-adjacent-elements-with-the-same-color,Number of Adjacent Elements With the Same Color,Medium,58.1%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.8%,50.0%
332,https://leetcode.com/problems/reconstruct-itinerary,Reconstruct Itinerary,Hard,44.3%,50.0%
415,https://leetcode.com/problems/add-strings,Add Strings,Easy,52.1%,50.0%
2502,https://leetcode.com/problems/design-memory-allocator,Design Memory Allocator,Medium,49.7%,50.0%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,47.5%,62.5%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.3%,62.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,46.8%,62.5%
258,https://leetcode.com/problems/add-digits,Add Digits,Easy,68.6%,50.0%
2544,https://leetcode.com/problems/alternating-digit-sum,Alternating Digit Sum,Easy,69.0%,50.0%
3019,https://leetcode.com/problems/number-of-changing-keys,Number of Changing Keys,Easy,80.5%,62.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.6%,50.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.1%,50.0%
3651,https://leetcode.com/problems/minimum-cost-path-with-teleportations,Minimum Cost Path with Teleportations,Hard,45.8%,62.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.2%,50.0%
2964,https://leetcode.com/problems/number-of-divisible-triplet-sums,Number of Divisible Triplet Sums,Medium,67.6%,62.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.3%,62.5%
3649,https://leetcode.com/problems/number-of-perfect-pairs,Number of Perfect Pairs,Medium,33.3%,62.5%
1648,https://leetcode.com/problems/sell-diminishing-valued-colored-balls,Sell Diminishing-Valued Colored Balls,Medium,30.1%,62.5%
2491,https://leetcode.com/problems/divide-players-into-teams-of-equal-skill,Divide Players Into Teams of Equal Skill,Medium,68.9%,50.0%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,57.6%,50.0%
