ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.5%,100.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.3%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.5%,62.5%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.1%,50.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.6%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.7%,87.5%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.2%,75.0%
23,https://leetcode.com/problems/merge-k-sorted-lists,Merge k Sorted Lists,Hard,58.8%,62.5%
25,https://leetcode.com/problems/reverse-nodes-in-k-group,Reverse Nodes in k-Group,Hard,65.3%,50.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,44.1%,75.0%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,42.4%,62.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.8%,87.5%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.2%,62.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,56.1%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.1%,87.5%
67,https://leetcode.com/problems/add-binary,Add Binary,Easy,57.6%,62.5%
74,https://leetcode.com/problems/search-a-2d-matrix,Search a 2D Matrix,Medium,53.5%,50.0%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,69.1%,62.5%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,46.9%,62.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,46.8%,50.0%
97,https://leetcode.com/problems/interleaving-string,Interleaving String,Medium,43.5%,37.5%
103,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,Medium,63.1%,62.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,56.4%,75.0%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.0%,75.0%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.1%,75.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,46.8%,100.0%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.4%,37.5%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,52.9%,50.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.8%,75.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.8%,75.0%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.5%,50.0%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,47.9%,75.0%
416,https://leetcode.com/problems/partition-equal-subset-sum,Partition Equal Subset Sum,Medium,49.2%,37.5%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,48.6%,50.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,46.8%,37.5%
697,https://leetcode.com/problems/degree-of-an-array,Degree of an Array,Easy,58.2%,37.5%
716,https://leetcode.com/problems/max-stack,Max Stack,Hard,45.9%,75.0%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.3%,50.0%
841,https://leetcode.com/problems/keys-and-rooms,Keys and Rooms,Medium,75.5%,37.5%
875,https://leetcode.com/problems/koko-eating-bananas,Koko Eating Bananas,Medium,49.7%,37.5%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.2%,50.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,50.8%,37.5%
1143,https://leetcode.com/problems/longest-common-subsequence,Longest Common Subsequence,Medium,58.9%,50.0%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,65.8%,75.0%
155,https://leetcode.com/problems/min-stack,Min Stack,Medium,57.7%,50.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,45.9%,75.0%
2461,https://leetcode.com/problems/maximum-sum-of-distinct-subarrays-with-length-k,Maximum Sum of Distinct Subarrays With Length K,Medium,42.8%,62.5%
210,https://leetcode.com/problems/course-schedule-ii,Course Schedule II,Medium,55.0%,62.5%
2625,https://leetcode.com/problems/flatten-deeply-nested-array,Flatten Deeply Nested Array,Medium,65.5%,50.0%
545,https://leetcode.com/problems/boundary-of-binary-tree,Boundary of Binary Tree,Medium,47.9%,37.5%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,31.3%,62.5%
341,https://leetcode.com/problems/flatten-nested-list-iterator,Flatten Nested List Iterator,Medium,65.6%,62.5%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.1%,75.0%
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,59.0%,37.5%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,79.3%,50.0%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,70.7%,37.5%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.1%,75.0%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,69.5%,62.5%
2071,https://leetcode.com/problems/maximum-number-of-tasks-you-can-assign,Maximum Number of Tasks You Can Assign,Hard,50.2%,37.5%
2072,https://leetcode.com/problems/the-winner-university,The Winner University,Easy,75.5%,37.5%
2179,https://leetcode.com/problems/count-good-triplets-in-an-array,Count Good Triplets in an Array,Hard,65.8%,37.5%
1486,https://leetcode.com/problems/xor-operation-in-an-array,XOR Operation in an Array,Easy,87.4%,37.5%
1977,https://leetcode.com/problems/number-of-ways-to-separate-numbers,Number of Ways to Separate Numbers,Hard,21.6%,37.5%
2541,https://leetcode.com/problems/minimum-operations-to-make-array-equal-ii,Minimum Operations to Make Array Equal II,Medium,33.0%,37.5%
3005,https://leetcode.com/problems/count-elements-with-maximum-frequency,Count Elements With Maximum Frequency,Easy,79.8%,37.5%
876,https://leetcode.com/problems/middle-of-the-linked-list,Middle of the Linked List,Easy,81.5%,37.5%
1238,https://leetcode.com/problems/circular-permutation-in-binary-representation,Circular Permutation in Binary Representation,Medium,72.6%,37.5%
