ID,URL,Title,Difficulty,Acceptance %,Frequency %
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.7%,100.0%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.7%,75.0%
870,https://leetcode.com/problems/advantage-shuffle,Advantage Shuffle,Medium,54.8%,100.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.9%,87.5%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.7%,75.0%
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.8%,75.0%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,57.0%,75.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.4%,75.0%
713,https://leetcode.com/problems/subarray-product-less-than-k,Subarray Product Less Than K,Medium,54.7%,75.0%
75,https://leetcode.com/problems/sort-colors,Sort Colors,Medium,70.0%,75.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,52.3%,75.0%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,75.0%
567,https://leetcode.com/problems/permutation-in-string,Permutation in String,Medium,49.2%,75.0%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,54.5%,75.0%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,64.1%,75.0%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,49.0%,75.0%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.8%,75.0%
1200,https://leetcode.com/problems/minimum-absolute-difference,Minimum Absolute Difference,Easy,75.2%,75.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.4%,75.0%
