ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.1%,87.5%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.2%,75.0%
176,https://leetcode.com/problems/second-highest-salary,Second Highest Salary,Medium,46.3%,62.5%
7,https://leetcode.com/problems/reverse-integer,Reverse Integer,Medium,31.5%,75.0%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,68.8%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,38.5%,75.0%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,44.4%,62.5%
451,https://leetcode.com/problems/sort-characters-by-frequency,Sort Characters By Frequency,Medium,75.1%,62.5%
3001,https://leetcode.com/problems/minimum-moves-to-capture-the-queen,Minimum Moves to Capture The Queen,Medium,22.3%,100.0%
2667,https://leetcode.com/problems/create-hello-world-function,Create Hello World Function,Easy,82.0%,62.5%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.1%,87.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,67.8%,75.0%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.7%,62.5%
