ID,URL,Title,Difficulty,Acceptance %,Frequency %
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,70.4%,100.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,45.9%,87.5%
423,https://leetcode.com/problems/reconstruct-original-digits-from-english,Reconstruct Original Digits from English,Medium,52.7%,62.5%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,47.9%,50.0%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,37.3%,50.0%
133,https://leetcode.com/problems/clone-graph,Clone Graph,Medium,64.7%,50.0%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,48.8%,50.0%
138,https://leetcode.com/problems/copy-list-with-random-pointer,Copy List with Random Pointer,Medium,62.4%,50.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,59.5%,62.5%
269,https://leetcode.com/problems/alien-dictionary,Alien Dictionary,Hard,37.1%,50.0%
15,https://leetcode.com/problems/3sum,3Sum,Medium,38.6%,50.0%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,67.9%,50.0%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,63.5%,50.0%
543,https://leetcode.com/problems/diameter-of-binary-tree,Diameter of Binary Tree,Easy,65.0%,50.0%
783,https://leetcode.com/problems/minimum-distance-between-bst-nodes,Minimum Distance Between BST Nodes,Easy,61.1%,50.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,66.8%,50.0%
705,https://leetcode.com/problems/design-hashset,Design HashSet,Easy,67.7%,50.0%
50,https://leetcode.com/problems/powx-n,"Pow(x, n)",Medium,38.2%,50.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.0%,50.0%
181,https://leetcode.com/problems/employees-earning-more-than-their-managers,Employees Earning More Than Their Managers,Easy,72.8%,50.0%
804,https://leetcode.com/problems/unique-morse-code-words,Unique Morse Code Words,Easy,83.5%,50.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.1%,62.5%
811,https://leetcode.com/problems/subdomain-visit-count,Subdomain Visit Count,Medium,77.2%,50.0%
929,https://leetcode.com/problems/unique-email-addresses,Unique Email Addresses,Easy,67.8%,50.0%
199,https://leetcode.com/problems/binary-tree-right-side-view,Binary Tree Right Side View,Medium,69.5%,50.0%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,63.8%,75.0%
336,https://leetcode.com/problems/palindrome-pairs,Palindrome Pairs,Hard,36.9%,50.0%
342,https://leetcode.com/problems/power-of-four,Power of Four,Easy,51.7%,50.0%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,77.5%,50.0%
953,https://leetcode.com/problems/verifying-an-alien-dictionary,Verifying an Alien Dictionary,Easy,55.9%,50.0%
98,https://leetcode.com/problems/validate-binary-search-tree,Validate Binary Search Tree,Medium,35.3%,50.0%
1048,https://leetcode.com/problems/longest-string-chain,Longest String Chain,Medium,62.8%,50.0%
236,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree,Lowest Common Ancestor of a Binary Tree,Medium,68.7%,50.0%
243,https://leetcode.com/problems/shortest-word-distance,Shortest Word Distance,Easy,66.2%,50.0%
1268,https://leetcode.com/problems/search-suggestions-system,Search Suggestions System,Medium,65.2%,50.0%
973,https://leetcode.com/problems/k-closest-points-to-origin,K Closest Points to Origin,Medium,68.7%,50.0%
1169,https://leetcode.com/problems/invalid-transactions,Invalid Transactions,Medium,32.1%,50.0%
249,https://leetcode.com/problems/group-shifted-strings,Group Shifted Strings,Medium,67.7%,50.0%
124,https://leetcode.com/problems/binary-tree-maximum-path-sum,Binary Tree Maximum Path Sum,Hard,42.0%,50.0%
863,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,All Nodes Distance K in Binary Tree,Medium,67.4%,50.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.2%,75.0%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.2%,75.0%
2814,https://leetcode.com/problems/minimum-time-takes-to-reach-destination-without-drowning,Minimum Time Takes to Reach Destination Without Drowning,Hard,54.5%,50.0%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.1%,75.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,46.8%,62.5%
162,https://leetcode.com/problems/find-peak-element,Find Peak Element,Medium,46.8%,50.0%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,62.3%,50.0%
78,https://leetcode.com/problems/subsets,Subsets,Medium,82.0%,75.0%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,58.1%,87.5%
1650,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree-iii,Lowest Common Ancestor of a Binary Tree III,Medium,82.9%,50.0%
789,https://leetcode.com/problems/escape-the-ghosts,Escape The Ghosts,Medium,63.4%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,43.7%,50.0%
420,https://leetcode.com/problems/strong-password-checker,Strong Password Checker,Hard,15.4%,87.5%
317,https://leetcode.com/problems/shortest-distance-from-all-buildings,Shortest Distance from All Buildings,Hard,44.8%,50.0%
1162,https://leetcode.com/problems/as-far-from-land-as-possible,As Far from Land as Possible,Medium,52.2%,62.5%
