ID,URL,Title,Difficulty,Acceptance %,Frequency %
1,https://leetcode.com/problems/two-sum,Two Sum,Easy,57.8%,87.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,87.5%
5,https://leetcode.com/problems/longest-palindromic-substring,Longest Palindromic Substring,Medium,38.2%,87.5%
6,https://leetcode.com/problems/zigzag-conversion,Zigzag Conversion,Medium,54.5%,75.0%
9,https://leetcode.com/problems/palindrome-number,Palindrome Number,Easy,60.7%,50.0%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.4%,75.0%
12,https://leetcode.com/problems/integer-to-roman,Integer to Roman,Medium,71.2%,37.5%
13,https://leetcode.com/problems/roman-to-integer,Roman to Integer,Easy,66.8%,62.5%
14,https://leetcode.com/problems/longest-common-prefix,Longest Common Prefix,Easy,47.9%,62.5%
10,https://leetcode.com/problems/regular-expression-matching,Regular Expression Matching,Hard,31.2%,75.0%
16,https://leetcode.com/problems/3sum-closest,3Sum Closest,Medium,48.9%,50.0%
17,https://leetcode.com/problems/letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,Medium,66.4%,62.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.4%,62.5%
20,https://leetcode.com/problems/valid-parentheses,Valid Parentheses,Easy,44.5%,87.5%
22,https://leetcode.com/problems/generate-parentheses,Generate Parentheses,Medium,78.9%,75.0%
26,https://leetcode.com/problems/remove-duplicates-from-sorted-array,Remove Duplicates from Sorted Array,Easy,63.2%,50.0%
28,https://leetcode.com/problems/find-the-index-of-the-first-occurrence-in-a-string,Find the Index of the First Occurrence in a String,Easy,46.9%,50.0%
4,https://leetcode.com/problems/median-of-two-sorted-arrays,Median of Two Sorted Arrays,Hard,47.0%,50.0%
33,https://leetcode.com/problems/search-in-rotated-sorted-array,Search in Rotated Sorted Array,Medium,45.2%,62.5%
35,https://leetcode.com/problems/search-insert-position,Search Insert Position,Easy,51.7%,37.5%
36,https://leetcode.com/problems/valid-sudoku,Valid Sudoku,Medium,64.7%,62.5%
39,https://leetcode.com/problems/combination-sum,Combination Sum,Medium,76.8%,37.5%
38,https://leetcode.com/problems/count-and-say,Count and Say,Medium,63.3%,50.0%
42,https://leetcode.com/problems/trapping-rain-water,Trapping Rain Water,Hard,67.7%,87.5%
44,https://leetcode.com/problems/wildcard-matching,Wildcard Matching,Hard,32.3%,75.0%
48,https://leetcode.com/problems/rotate-image,Rotate Image,Medium,80.4%,75.0%
49,https://leetcode.com/problems/group-anagrams,Group Anagrams,Medium,72.9%,87.5%
51,https://leetcode.com/problems/n-queens,N-Queens,Hard,76.0%,50.0%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.5%,62.5%
54,https://leetcode.com/problems/spiral-matrix,Spiral Matrix,Medium,57.2%,100.0%
55,https://leetcode.com/problems/jump-game,Jump Game,Medium,41.2%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,52.3%,87.5%
59,https://leetcode.com/problems/spiral-matrix-ii,Spiral Matrix II,Medium,75.4%,37.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.2%,87.5%
72,https://leetcode.com/problems/edit-distance,Edit Distance,Medium,60.9%,62.5%
78,https://leetcode.com/problems/subsets,Subsets,Medium,82.5%,37.5%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.7%,50.0%
88,https://leetcode.com/problems/merge-sorted-array,Merge Sorted Array,Easy,55.2%,62.5%
91,https://leetcode.com/problems/decode-ways,Decode Ways,Medium,38.2%,50.0%
93,https://leetcode.com/problems/restore-ip-addresses,Restore IP Addresses,Medium,56.4%,37.5%
121,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,Easy,57.0%,87.5%
122,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii,Best Time to Buy and Sell Stock II,Medium,71.3%,37.5%
128,https://leetcode.com/problems/longest-consecutive-sequence,Longest Consecutive Sequence,Medium,47.2%,37.5%
139,https://leetcode.com/problems/word-break,Word Break,Medium,49.6%,37.5%
151,https://leetcode.com/problems/reverse-words-in-a-string,Reverse Words in a String,Medium,57.0%,50.0%
165,https://leetcode.com/problems/compare-version-numbers,Compare Version Numbers,Medium,46.7%,75.0%
171,https://leetcode.com/problems/excel-sheet-column-number,Excel Sheet Column Number,Easy,68.0%,50.0%
189,https://leetcode.com/problems/rotate-array,Rotate Array,Medium,45.2%,50.0%
198,https://leetcode.com/problems/house-robber,House Robber,Medium,53.4%,37.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.7%,75.0%
202,https://leetcode.com/problems/happy-number,Happy Number,Easy,59.9%,37.5%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,48.7%,50.0%
1299,https://leetcode.com/problems/replace-elements-with-greatest-element-on-right-side,Replace Elements with Greatest Element on Right Side,Easy,72.3%,50.0%
2164,https://leetcode.com/problems/sort-even-and-odd-indices-independently,Sort Even and Odd Indices Independently,Easy,63.5%,75.0%
238,https://leetcode.com/problems/product-of-array-except-self,Product of Array Except Self,Medium,69.1%,62.5%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,35.1%,37.5%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,64.1%,62.5%
287,https://leetcode.com/problems/find-the-duplicate-number,Find the Duplicate Number,Medium,64.6%,37.5%
290,https://leetcode.com/problems/word-pattern,Word Pattern,Easy,44.3%,37.5%
322,https://leetcode.com/problems/coin-change,Coin Change,Medium,48.7%,37.5%
345,https://leetcode.com/problems/reverse-vowels-of-a-string,Reverse Vowels of a String,Easy,61.7%,37.5%
1275,https://leetcode.com/problems/find-winner-on-a-tic-tac-toe-game,Find Winner on a Tic Tac Toe Game,Easy,54.7%,75.0%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.9%,100.0%
416,https://leetcode.com/problems/partition-equal-subset-sum,Partition Equal Subset Sum,Medium,49.7%,50.0%
435,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,Medium,57.4%,62.5%
498,https://leetcode.com/problems/diagonal-traverse,Diagonal Traverse,Medium,67.3%,50.0%
735,https://leetcode.com/problems/asteroid-collision,Asteroid Collision,Medium,48.4%,62.5%
1768,https://leetcode.com/problems/merge-strings-alternately,Merge Strings Alternately,Easy,82.1%,37.5%
1823,https://leetcode.com/problems/find-the-winner-of-the-circular-game,Find the Winner of the Circular Game,Medium,82.3%,37.5%
1910,https://leetcode.com/problems/remove-all-occurrences-of-a-substring,Remove All Occurrences of a Substring,Medium,78.6%,75.0%
84,https://leetcode.com/problems/largest-rectangle-in-histogram,Largest Rectangle in Histogram,Hard,50.3%,37.5%
227,https://leetcode.com/problems/basic-calculator-ii,Basic Calculator II,Medium,47.0%,62.5%
212,https://leetcode.com/problems/word-search-ii,Word Search II,Hard,38.6%,50.0%
539,https://leetcode.com/problems/minimum-time-difference,Minimum Time Difference,Medium,62.6%,37.5%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,39.1%,62.5%
179,https://leetcode.com/problems/largest-number,Largest Number,Medium,43.3%,75.0%
829,https://leetcode.com/problems/consecutive-numbers-sum,Consecutive Numbers Sum,Hard,42.8%,37.5%
37,https://leetcode.com/problems/sudoku-solver,Sudoku Solver,Hard,65.6%,50.0%
8,https://leetcode.com/problems/string-to-integer-atoi,String to Integer (atoi),Medium,21.3%,37.5%
217,https://leetcode.com/problems/contains-duplicate,Contains Duplicate,Easy,64.5%,50.0%
85,https://leetcode.com/problems/maximal-rectangle,Maximal Rectangle,Hard,59.2%,50.0%
518,https://leetcode.com/problems/coin-change-ii,Coin Change II,Medium,59.6%,37.5%
69,https://leetcode.com/problems/sqrtx,Sqrt(x),Easy,42.1%,75.0%
488,https://leetcode.com/problems/zuma-game,Zuma Game,Hard,29.5%,37.5%
166,https://leetcode.com/problems/fraction-to-recurring-decimal,Fraction to Recurring Decimal,Medium,31.1%,50.0%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.9%,75.0%
443,https://leetcode.com/problems/string-compression,String Compression,Medium,60.3%,37.5%
451,https://leetcode.com/problems/sort-characters-by-frequency,Sort Characters By Frequency,Medium,75.5%,50.0%
118,https://leetcode.com/problems/pascals-triangle,Pascal's Triangle,Easy,79.1%,50.0%
169,https://leetcode.com/problems/majority-element,Majority Element,Easy,66.4%,50.0%
125,https://leetcode.com/problems/valid-palindrome,Valid Palindrome,Easy,53.7%,50.0%
43,https://leetcode.com/problems/multiply-strings,Multiply Strings,Medium,44.4%,50.0%
949,https://leetcode.com/problems/largest-time-for-given-digits,Largest Time for Given Digits,Medium,36.0%,50.0%
73,https://leetcode.com/problems/set-matrix-zeroes,Set Matrix Zeroes,Medium,63.3%,50.0%
916,https://leetcode.com/problems/word-subsets,Word Subsets,Medium,56.0%,37.5%
97,https://leetcode.com/problems/interleaving-string,Interleaving String,Medium,44.3%,37.5%
994,https://leetcode.com/problems/rotting-oranges,Rotting Oranges,Medium,59.0%,62.5%
2305,https://leetcode.com/problems/fair-distribution-of-cookies,Fair Distribution of Cookies,Medium,70.0%,37.5%
2133,https://leetcode.com/problems/check-if-every-row-and-column-contains-all-numbers,Check if Every Row and Column Contains All Numbers,Easy,54.3%,37.5%
1512,https://leetcode.com/problems/number-of-good-pairs,Number of Good Pairs,Easy,89.9%,37.5%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.7%,62.5%
2,https://leetcode.com/problems/add-two-numbers,Add Two Numbers,Medium,48.8%,62.5%
859,https://leetcode.com/problems/buddy-strings,Buddy Strings,Easy,34.1%,50.0%
349,https://leetcode.com/problems/intersection-of-two-arrays,Intersection of Two Arrays,Easy,78.0%,37.5%
1353,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended,Maximum Number of Events That Can Be Attended,Medium,39.0%,37.5%
21,https://leetcode.com/problems/merge-two-sorted-lists,Merge Two Sorted Lists,Easy,68.5%,50.0%
174,https://leetcode.com/problems/dungeon-game,Dungeon Game,Hard,41.7%,50.0%
76,https://leetcode.com/problems/minimum-window-substring,Minimum Window Substring,Hard,47.9%,50.0%
328,https://leetcode.com/problems/odd-even-linked-list,Odd Even Linked List,Medium,62.6%,37.5%
1781,https://leetcode.com/problems/sum-of-beauty-of-all-substrings,Sum of Beauty of All Substrings,Medium,74.4%,37.5%
215,https://leetcode.com/problems/kth-largest-element-in-an-array,Kth Largest Element in an Array,Medium,69.1%,50.0%
64,https://leetcode.com/problems/minimum-path-sum,Minimum Path Sum,Medium,68.5%,50.0%
1963,https://leetcode.com/problems/minimum-number-of-swaps-to-make-the-string-balanced,Minimum Number of Swaps to Make the String Balanced,Medium,78.0%,37.5%
796,https://leetcode.com/problems/rotate-string,Rotate String,Easy,66.9%,37.5%
45,https://leetcode.com/problems/jump-game-ii,Jump Game II,Medium,43.1%,62.5%
1636,https://leetcode.com/problems/sort-array-by-increasing-frequency,Sort Array by Increasing Frequency,Easy,80.9%,50.0%
316,https://leetcode.com/problems/remove-duplicate-letters,Remove Duplicate Letters,Medium,53.5%,50.0%
542,https://leetcode.com/problems/01-matrix,01 Matrix,Medium,54.4%,37.5%
767,https://leetcode.com/problems/reorganize-string,Reorganize String,Medium,57.3%,37.5%
18,https://leetcode.com/problems/4sum,4Sum,Medium,41.1%,37.5%
1108,https://leetcode.com/problems/defanging-an-ip-address,Defanging an IP Address,Easy,90.1%,37.5%
494,https://leetcode.com/problems/target-sum,Target Sum,Medium,52.5%,37.5%
463,https://leetcode.com/problems/island-perimeter,Island Perimeter,Easy,74.5%,62.5%
452,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons,Minimum Number of Arrows to Burst Balloons,Medium,61.7%,50.0%
516,https://leetcode.com/problems/longest-palindromic-subsequence,Longest Palindromic Subsequence,Medium,65.7%,37.5%
347,https://leetcode.com/problems/top-k-frequent-elements,Top K Frequent Elements,Medium,66.8%,50.0%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.3%,62.5%
134,https://leetcode.com/problems/gas-station,Gas Station,Medium,48.3%,50.0%
1732,https://leetcode.com/problems/find-the-highest-altitude,Find the Highest Altitude,Easy,84.7%,50.0%
925,https://leetcode.com/problems/long-pressed-name,Long Pressed Name,Easy,33.0%,37.5%
420,https://leetcode.com/problems/strong-password-checker,Strong Password Checker,Hard,16.0%,37.5%
149,https://leetcode.com/problems/max-points-on-a-line,Max Points on a Line,Hard,31.0%,37.5%
167,https://leetcode.com/problems/two-sum-ii-input-array-is-sorted,Two Sum II - Input Array Is Sorted,Medium,65.4%,37.5%
904,https://leetcode.com/problems/fruit-into-baskets,Fruit Into Baskets,Medium,51.7%,50.0%
503,https://leetcode.com/problems/next-greater-element-ii,Next Greater Element II,Medium,68.7%,37.5%
279,https://leetcode.com/problems/perfect-squares,Perfect Squares,Medium,56.7%,37.5%
213,https://leetcode.com/problems/house-robber-ii,House Robber II,Medium,45.2%,37.5%
695,https://leetcode.com/problems/max-area-of-island,Max Area of Island,Medium,74.1%,50.0%
219,https://leetcode.com/problems/contains-duplicate-ii,Contains Duplicate II,Easy,51.5%,37.5%
1394,https://leetcode.com/problems/find-lucky-integer-in-an-array,Find Lucky Integer in an Array,Easy,75.6%,37.5%
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,59.7%,37.5%
387,https://leetcode.com/problems/first-unique-character-in-a-string,First Unique Character in a String,Easy,65.8%,37.5%
961,https://leetcode.com/problems/n-repeated-element-in-size-2n-array,N-Repeated Element in Size 2N Array,Easy,80.0%,37.5%
392,https://leetcode.com/problems/is-subsequence,Is Subsequence,Easy,49.2%,37.5%
239,https://leetcode.com/problems/sliding-window-maximum,Sliding Window Maximum,Hard,49.0%,37.5%
455,https://leetcode.com/problems/assign-cookies,Assign Cookies,Easy,55.3%,37.5%
2965,https://leetcode.com/problems/find-missing-and-repeated-values,Find Missing and Repeated Values,Easy,83.1%,37.5%
557,https://leetcode.com/problems/reverse-words-in-a-string-iii,Reverse Words in a String III,Easy,84.1%,37.5%
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard,52.2%,37.5%
62,https://leetcode.com/problems/unique-paths,Unique Paths,Medium,67.0%,37.5%
168,https://leetcode.com/problems/excel-sheet-column-title,Excel Sheet Column Title,Easy,46.9%,50.0%
146,https://leetcode.com/problems/lru-cache,LRU Cache,Medium,47.6%,37.5%
747,https://leetcode.com/problems/largest-number-at-least-twice-of-others,Largest Number At Least Twice of Others,Easy,52.8%,37.5%
66,https://leetcode.com/problems/plus-one,Plus One,Easy,50.2%,37.5%
3827,https://leetcode.com/problems/count-monobit-integers,Count Monobit Integers,Easy,66.6%,75.0%
268,https://leetcode.com/problems/missing-number,Missing Number,Easy,72.3%,37.5%
242,https://leetcode.com/problems/valid-anagram,Valid Anagram,Easy,68.3%,50.0%
34,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array,Find First and Last Position of Element in Sorted Array,Medium,49.3%,37.5%
