ID,URL,Title,Difficulty,Acceptance %,Frequency %
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.1%,100.0%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,51.8%,87.5%
739,https://leetcode.com/problems/daily-temperatures,Daily Temperatures,Medium,68.7%,87.5%
70,https://leetcode.com/problems/climbing-stairs,Climbing Stairs,Easy,54.1%,87.5%
394,https://leetcode.com/problems/decode-string,Decode String,Medium,62.6%,87.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.0%,75.0%
435,https://leetcode.com/problems/non-overlapping-intervals,Non-overlapping Intervals,Medium,57.1%,75.0%
40,https://leetcode.com/problems/combination-sum-ii,Combination Sum II,Medium,59.5%,75.0%
79,https://leetcode.com/problems/word-search,Word Search,Medium,47.4%,75.0%
961,https://leetcode.com/problems/n-repeated-element-in-size-2n-array,N-Repeated Element in Size 2N Array,Easy,79.9%,75.0%
560,https://leetcode.com/problems/subarray-sum-equals-k,Subarray Sum Equals K,Medium,47.3%,75.0%
115,https://leetcode.com/problems/distinct-subsequences,Distinct Subsequences,Hard,51.9%,75.0%
1689,https://leetcode.com/problems/partitioning-into-minimum-number-of-deci-binary-numbers,Partitioning Into Minimum Number Of Deci-Binary Numbers,Medium,90.5%,75.0%
273,https://leetcode.com/problems/integer-to-english-words,Integer to English Words,Hard,35.0%,75.0%
32,https://leetcode.com/problems/longest-valid-parentheses,Longest Valid Parentheses,Hard,38.8%,75.0%
