ID,URL,Title,Difficulty,Acceptance %,Frequency %
2931,https://leetcode.com/problems/maximum-spending-after-buying-items,Maximum Spending After Buying Items,Hard,61.4%,62.5%
2147,https://leetcode.com/problems/number-of-ways-to-divide-a-long-corridor,Number of Ways to Divide a Long Corridor,Hard,54.6%,62.5%
2608,https://leetcode.com/problems/shortest-cycle-in-a-graph,Shortest Cycle in a Graph,Hard,40.0%,62.5%
2505,https://leetcode.com/problems/bitwise-or-of-all-subsequence-sums,Bitwise OR of All Subsequence Sums,Medium,64.1%,62.5%
2584,https://leetcode.com/problems/split-the-array-to-make-coprime-products,Split the Array to Make Coprime Products,Hard,29.1%,62.5%
41,https://leetcode.com/problems/first-missing-positive,First Missing Positive,Hard,43.2%,87.5%
460,https://leetcode.com/problems/lfu-cache,LFU Cache,Hard,49.7%,62.5%
200,https://leetcode.com/problems/number-of-islands,Number of Islands,Medium,64.7%,62.5%
15,https://leetcode.com/problems/3sum,3Sum,Medium,39.4%,62.5%
2145,https://leetcode.com/problems/count-the-hidden-sequences,Count the Hidden Sequences,Medium,56.7%,100.0%
205,https://leetcode.com/problems/isomorphic-strings,Isomorphic Strings,Easy,48.7%,62.5%
626,https://leetcode.com/problems/exchange-seats,Exchange Seats,Medium,74.4%,75.0%
909,https://leetcode.com/problems/snakes-and-ladders,Snakes and Ladders,Medium,48.2%,62.5%
3,https://leetcode.com/problems/longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,Medium,39.4%,75.0%
283,https://leetcode.com/problems/move-zeroes,Move Zeroes,Easy,64.1%,62.5%
540,https://leetcode.com/problems/single-element-in-a-sorted-array,Single Element in a Sorted Array,Medium,59.3%,75.0%
260,https://leetcode.com/problems/single-number-iii,Single Number III,Medium,70.2%,62.5%
358,https://leetcode.com/problems/rearrange-string-k-distance-apart,Rearrange String k Distance Apart,Hard,40.0%,62.5%
221,https://leetcode.com/problems/maximal-square,Maximal Square,Medium,50.6%,62.5%
53,https://leetcode.com/problems/maximum-subarray,Maximum Subarray,Medium,53.5%,62.5%
207,https://leetcode.com/problems/course-schedule,Course Schedule,Medium,51.8%,62.5%
218,https://leetcode.com/problems/the-skyline-problem,The Skyline Problem,Hard,45.6%,75.0%
46,https://leetcode.com/problems/permutations,Permutations,Medium,82.1%,62.5%
56,https://leetcode.com/problems/merge-intervals,Merge Intervals,Medium,52.3%,62.5%
11,https://leetcode.com/problems/container-with-most-water,Container With Most Water,Medium,60.4%,62.5%
